# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;	352.0	261.0	288.0	773.0	180.0	984.0	959.0	1397.0	1734.0	1573.0	1439.0
Bacteria;PVC	2059.0	1680.0	1662.0	3193.0	1299.0	3598.0	3762.0	12594.0	12670.0	14176.0	10101.0
Bacteria;PANNAM	17474.0	14578.0	16059.0	10106.0	6302.0	8653.0	4940.0	6383.0	8381.0	8901.0	6637.0
Bacteria;FCB	7819.0	4053.0	8392.0	6805.0	5236.0	5321.0	4830.0	5893.0	5740.0	7104.0	4697.0
Eukaryota:plas;Archaeplastida:plas	3328.0	4244.0	6037.0	2978.0	2609.0	2842.0	2110.0	4063.0	3291.0	4183.0	2864.0
;	277.0	110.0	252.0	981.0	116.0	1176.0	794.0	460.0	557.0	313.0	418.0
Bacteria;Terrabacteria	8370.0	7974.0	7318.0	15304.0	9178.0	15784.0	8910.0	15366.0	16973.0	14672.0	16003.0
Eukaryota:plas;Excavata:plas	50.0	10.0	91.0	50.0	258.0	123.0	25.0	3.0	12.0	0.0	5.0
Bacteria;CMS	9526.0	11114.0	6757.0	11887.0	14658.0	12125.0	11539.0	6589.0	6336.0	6849.0	6465.0
Eukaryota:plas;Cryptista:plas	547.0	62.0	219.0	1145.0	346.0	715.0	649.0	11.0	45.0	4.0	86.0
Eukaryota;	8.0	32.0	21.0	141.0	15.0	204.0	113.0	80.0	82.0	125.0	85.0
Eukaryota;TSAR	6.0	26.0	0.0	20.0	85.0	7.0	0.0	0.0	7.0	0.0	5.0
Bacteria;CCD	338.0	189.0	317.0	424.0	132.0	358.0	324.0	455.0	384.0	431.0	357.0
Eukaryota:mito;Archaeplastida:mito	0.0	0.0	2.0	93.0	53.0	49.0	13.0	0.0	13.0	0.0	0.0
Eukaryota:plas;TSAR:plas	1470.0	793.0	1059.0	3557.0	1271.0	4707.0	4174.0	1838.0	2025.0	1453.0	1398.0
Bacteria;DST	0.0	0.0	0.0	10.0	2.0	7.0	0.0	0.0	0.0	13.0	0.0
Bacteria;Gracilicutes	24.0	24.0	14.0	90.0	20.0	62.0	46.0	86.0	89.0	120.0	99.0
Eukaryota:mito;	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	12.0	4.0	5.0
Eukaryota:mito;TSAR:mito	38.0	34.0	24.0	152.0	148.0	243.0	105.0	298.0	231.0	271.0	229.0
Eukaryota:plas;	0.0	0.0	4.0	0.0	0.0	23.0	3.0	17.0	10.0	9.0	26.0
Eukaryota;Obazoa	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0
