	W	Reject null hypothesis
94bb341566eec6befd72a328f83495c1	2407	True
69f4f072259128e6bd373994e7bbf11a	2405	True
a2855e1599e29415c9f036f7359422e6	2311	True
846cd5b2ba6f495674a89580c7893047	2248	True
9e032d31bca0bf9cf9efe2da3b98046a	2229	True
f85a0fe929ce72968e01dfb7b7c6e1ad	2207	True
27f1f57baf0ab38401f69866da83bc4c	2198	True
3952ad28dfcd7afb60234ed70dcce59a	2177	True
3a2cf3460cc50f878119859bb2fb5b86	2167	True
b52e869841a4473f3baa15072ba0e32b	2164	True
19b10bc34f91e38d42f1f6350ec37835	2152	False
49d436b92a4b5cffaef03ddaa5c5658c	2130	False
b1ea3b9c98771a4a4c08107168e57238	2096	False
b0357c7949a0dc18adf5916a84763e65	2090	False
6b626e74d72318702e2ee7aa7b648f6f	2068	False
bd1a514196e2ee1c5636d7591105416b	2045	False
48bd114a6e88b8b14b886b67dfa8014e	2039	False
22be196d1f5e83d0e268ecbea57ebddc	2023	False
7697b7f6d1348b7ecd916bf869f2d1c1	2009	False
2656500b1c8e31655cb91f5393a7a1c1	2008	False
e210376c0b398317d72f550d0dc5b411	1990	False
9986ee3db3979d4cd48c3ecd1315c298	1960	False
5153f6dc9fc953f260e61515937222ec	1956	False
310c4afc35de743649b13d8a0c77c1fb	1946	False
fd4794f7311bd541e894b4ef5054d292	1942	False
72517a836a41f2e5c487678825cf4821	1817	False
fa2e4989526061ec4aba680b03f3e8e6	1813	False
ca3ec5ae7295b81966166bd624ef288f	1745	False
1d605960c4e98619be900f5812f9cf66	1654	False
b90190b389fbf58ab0c8d1e8488d8743	1643	False
d3d664fccbeee1d0ef7f549668915196	1641	False
39d662d6d59a8011fdf0fa011393efcd	1628	False
f97dac49ed3909610db0a9a2b93f1066	1588	False
40862acab68ffe80e0dd4f8dfd7e9bf1	1575	False
956391c4726c2fe802a577a575f141bb	1573	False
575376ce8bc75add1e51de9353689591	1571	False
1ef24655fd2fe71900845647cc5ad5fc	1568	False
64f66d2f13307125daa5187987371abf	1561	False
f20d6348d37b3294407aac511714f618	1530	False
1f9a04a4a11d581d152a4a8383f363eb	1510	False
a34dd26c9b0955cf2a562fb7afa62836	1485	False
e21136aaddce2ecb7eb0b91d38f60646	1474	False
01c8089a877bc5fe82e5d4164caee916	1468	False
09d499b3b46afc9f015431bd8bc9187d	1462	False
59ec80dc7ddb4b3e1fc46b0557b3b7c1	1430	False
d3a2d027be4e750df536f206c9d99588	1418	False
e95bb68d0dd3ae972043915f7b6ef9c2	1416	False
1badd59c77035ea580065cfbe880d8e6	1402	False
f49faff1307bdbd7df8f485d97ac4a16	1391	False
42b5d7db511caf09bc1ef7e615b9d571	1386	False
71f6d1f1ba5c921699a3267b0ef1ce5a	1358	False
9f91206347a2eb5a8a73a15f799dcb6b	1358	False
7018c18c8bc797881982bb2488b02d28	1357	False
5228f938d9d5996548bc47b56a93aed7	1355	False
3a8a912fbd072f7117122aff3d643a98	1349	False
af6414cead0f5abafa42505f59967999	1339	False
49756b2383b1ced6b82fff4e0a0983d5	1335	False
43497d3ddc08f4af9097fc98aadbb8cc	1331	False
2d9fa8d902322949f5dde5c6bd2ff88c	1324	False
6d02224d7c31e99f85aeee96e2eae062	1318	False
6c970c429f572bb3027f8fc7494927c4	1311	False
2068d044a6e84cbccc31ad33a8568bde	1306	False
40a2dc8bca4e9887bfce2615a4b76ee1	1303	False
534667c82a24fcfe54393b72ea377193	1299	False
3a220683a885f8b8b7ed0b494a2b1cd6	1297	False
1c71a5f3034dcfec8fcd0234766b35f3	1296	False
7a7c2dfd34ada9c7ce82f4ff7ec51229	1296	False
47b80dbbd60026afe0d73afe0b65cdfb	1295	False
a02230e054317f1ef41c2a82783ecf4a	1293	False
b0673284a1e54dc81c03639e3b7c3630	1288	False
ecb7e3c2df73af41242e28b0815f49c2	1280	False
382a841a2e6154fa7a53dc573dc5439c	1273	False
be22c4c9ff5c6f62f2c1151a6f45be83	1258	False
0a4433ad44bbd36a8052fa2f7b0ca12b	1257	False
58ffa965770fa6577153ae0fd18f5f4c	1254	False
84d10fe6ff9e6f3bd1d11ed02df4d408	1252	False
e3fb3ca3460195463ecf485ea8134bd6	1246	False
b3c279882696814471536c727adc53ee	1237	False
7d371d9c5bee07ec38957b8340fa8840	1236	False
72dbccc02b63a6cf0289659e57e353b6	1235	False
b5cd57a54e3c94ee14c6f648fdc60a75	1232	False
9f27dd35a9396f2c4f6829072951f0fa	1220	False
e354df0df1afc4ec34dd7a04a4fdc5cb	1217	False
203d76017bae5681f4aa596ef2787679	1211	False
7a76b8341d9f8b7d50e663df4bcf5038	1206	False
17735e34b7dee1d5a336c761363640cb	1194	False
aaaa1a5ac2c8dbc1f4d4d233d3a63ed5	1182	False
94a8b2eff44db452975abad409a4c402	1180	False
6eaae21ddee3a8cd182abecfc3666656	1173	False
1495d3d14581e6a6fe84e532ed192ffc	1165	False
a40798a2f1dc46e5e6188bb595e5ba4f	1164	False
c7770d411e952b4960a870be488462bd	1157	False
9fffa47f110adc6e2ef7c444ac460c9c	1148	False
fea34b2054592ae54adb33d36bcdd105	1147	False
0a2c5490b137480da1b6d8f9978edac8	1146	False
9a40cc34c47787f8fa9fc2c4816c4f61	1139	False
7934c171a84d366878df6cd600609fdf	1137	False
bd11cadbef2ea1acb43d9034198f4a33	1136	False
b8b28b8245badafb43c87a1d07541a54	1124	False
b651467b3242e95761013deb6a58f56a	1122	False
5b8a04efab2c43fe0b0d1cdc51f4d06a	1120	False
ff69a9a311f327a2b44f5923a330fbe0	1117	False
0771cd0166232471121394b7974ba8f9	1114	False
7d44addd0bf6786653c686ffac3ddce0	1101	False
e06cf2f1a72bf6f0026cdf1777823e5e	1090	False
1f203050dffa278f993d33219062ccdf	1086	False
c2a74de4b47497cee1ae640ba33a2bf7	1080	False
ca7aff562b4a16a9250fd31ffa81a5ff	1076	False
e323906433694680b3f961bedae7925d	1060	False
4026b1fde714e28ed00fc861920ff863	1059	False
c654082282eb9e786326f73b3bc9672f	1049	False
72512954fc9017af215e25fba2cb41ab	1049	False
911e8174b7b1a070bbeaa17b82b739dd	1043	False
fd3e5263a60f8deddd836ee2e5cb27e0	1041	False
2e780f734285acb3481e4273fabe2f72	1030	False
4cb692d9a27cdd6b9346c457ebb9a2b6	1028	False
3c2c11b1040c2b6c1053ea07dc69c1df	1026	False
5ffdef452e89164ee16ec2fdac2c656c	1025	False
9bb55aa866ca3a1be1b8525ad67e2fa1	1016	False
6575956b3d8e6343209146eac4830c0f	1006	False
6d8d51fe14d6538f770c09c667bf7eb2	1006	False
d6ead491c400badcb88d00cc7f83fa53	1004	False
cd808501d78351b9e1a594e8be5a5f9b	1000	False
be56ec96a90abf41ff359b0f676e2fe7	999	False
14dad127164cb289db1e9fdca060d6a9	998	False
ea992161bd423062b2d6c820963e5f8b	997	False
94864aeb26364d4c9095bdccf4af9f9a	992	False
9cac668c07d3050cf8ab3e0376b8e326	985	False
0b220ed5830b22844173cc3001cf9b9c	969	False
679038155e3f37dcece09a4a1706dca2	969	False
e41ae42d39313f7f7adac9029bf7dc75	969	False
80c8c626503016a13f1c3c8c02577f4b	968	False
11dd2988f2168a2b9e2854ea64f68231	968	False
f17337145264fe446f18a2bdc9ae3c6e	965	False
0de452fbd28a4b6800502c87e0271f49	962	False
a0d04cd425a91904951614d364dd94dc	961	False
6e1a8d1e69ad2427bf0015e8ea812911	959	False
6b85650d8b7e131eb899b44fd9afb664	955	False
1fb210cc71da6f0bcf9c2d8ee29207e6	952	False
540c1a07103ee830727c8beb48c7cab6	950	False
a060f456543750a42ceb2d2bef1e16b0	948	False
6a67b00f438a8ce52a10ef5fefdd02cd	948	False
088325803e119dd7c61aaccf2966d168	939	False
ed878349d77d3b3ebe12ddaae3172a93	930	False
0ab1596ac42fd011ade147423d69d8b5	923	False
e222299884e9e5b57a1384b84754ee0b	922	False
9ec3c1ce09539a294fd907f6c761f3c8	921	False
83104ab131754739d7c700cc50144696	914	False
19dab4d6e3c9eaa34d890c7c9160f423	914	False
d194e53078705ebd015461d5ea14712f	906	False
91fa3b8430d98128e07ab37847742aba	899	False
0c69e680dea014ac16ee21e9046429c8	896	False
a969cc60425f33006aee62a1cacf3215	895	False
1340c2d233c2f1d57d599a1847a991d8	894	False
5240e8d5b8ef485bdf23325071f2073f	893	False
59640419e94654bd2e9efd134b8e5018	893	False
7ce4802ba19c99d3b10109d2bba0fa67	887	False
1f740a6647bf894d391a3cd700be3d99	880	False
5a2f1b30446d45b3a9e49cdb3d7c8573	874	False
5c94f09d2662c71ec9d1add1e81c743d	871	False
8784fff615e9f3ba80cda50f6f6ec4db	869	False
74f58656fd4a54504e33b4d35b7f950e	860	False
9be354f716fd9949bb32d3d9f0854d70	857	False
74f6e6e6faa6f0c906dc1f231c0187d2	854	False
22bf5687c67767e56b0ca840f1ec538e	851	False
859c102d8995b7f3f4148566e7b3c9a6	850	False
3dfae6a89760c6ffb013a643a7c12378	847	False
018dcbdc39d8e5650fa844dfc1a514fc	842	False
155c00c360c83a3b927be33cc28adca7	831	False
160db6444fb3db710de4b0c85faf2cfd	830	False
1b62100c7ce1a925a72335c9c0ada66f	824	False
235b3eb680cd21f5b3f9ac3be91bc621	821	False
40b04848926ae45c71d0d93c5cea3358	819	False
c27ba0a34f0489eb5d9e5874cad33511	818	False
5b6f2346ebb50cfc0323603cda122bdc	811	False
df974e2b249ac3c0bf4f20988c575bcd	802	False
fadf4ba7d5a63fdc8c5f0d8292a92700	799	False
c775dcf520112435cf0f7da0da746f5d	790	False
75bfc91aecc92e9580acea2c9b83a16c	790	False
033682f8d10f7128d85a79f03ecd45c7	784	False
bfe3de95ffdf39792b0a00fa771a4f2e	783	False
d84abe633f0dde51b642ffaa50c6c4a1	777	False
3e95e04606ece25d5b48dd3e0670d5c5	776	False
df87c26eaf7bf014c4726ac284e8c633	773	False
eba00aba80b91e89bc354f52e958e164	773	False
0602204f6749b76609b08c273456097a	771	False
fcaeace0378b4e14c734a0cf99d2acb0	768	False
f0e5e73723709ccf0913dab8830966ab	768	False
87c650888511a583cffb0e9f7ddc80c8	768	False
185d4dcae97e9b75e3492ad825831ff0	767	False
ca89ed15d183ca1b4ef839b9eb2dd899	765	False
3ed4c44db99f5e3a4956688d93aa4bb3	763	False
e1ae89372deee68de4fada5f25596038	762	False
63f449415ab15e9b017bb0c044d53978	761	False
234ccc58b1adfb8a1545a85b2fd3716d	755	False
23001b883f71f00ff8b64df5c06a865a	752	False
1b6cc7f4bdf513d8cdc134fa55ffa264	747	False
b77cd0c6642d4c800c31a6cdf6a12ca9	746	False
591129c768b806ba2e2116d5eae34232	735	False
