	W	Reject null hypothesis
Bacteria;PVC;	34	True
Bacteria;PVC;Planctomycetes	27	True
Bacteria;Terrabacteria;	18	False
Eukaryota:mito;TSAR:mito;Stramenopiles:mito	17	False
Eukaryota:plas;TSAR:plas;Alveolata:plas	14	False
Bacteria;PVC;Verrucomicrobia	13	False
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito	12	False
Bacteria;CCD;Patescibacteria	11	False
Bacteria;;	10	False
Bacteria;PVC;Kiritimatiellaeota	10	False
Bacteria;PANNAM;Proteobacteria	10	False
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas	9	False
Bacteria;Gracilicutes;Dependentiae	8	False
Bacteria;CCD;Chloroflexi	7	False
Eukaryota:plas;TSAR:plas;Stramenopiles:plas	7	False
Bacteria;CMS;Cyanobacteria	6	False
Bacteria;FCB;Fibrobacteres	6	False
Bacteria;Terrabacteria;Armatimonadetes	6	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas	6	False
Bacteria;FCB;Gemmatimonadetes	6	False
Bacteria;Terrabacteria;Actinobacteria	6	False
Bacteria;Terrabacteria;Tenericutes	4	False
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas	4	False
Eukaryota:plas;Archaeplastida:plas;	3	False
Bacteria;PVC;Chlamydiae	3	False
Bacteria;Gracilicutes;Fusobacteria	3	False
Eukaryota:plas;Excavata:plas;Discoba:plas	3	False
;;	3	False
Bacteria;FCB;Bacteroidetes	3	False
Bacteria;Gracilicutes;Spirochaetes	2	False
Eukaryota:plas;;	1	False
Bacteria;PANNAM;Acidobacteria	1	False
Eukaryota;Obazoa;Opisthokonta	1	False
Eukaryota;;	1	False
Bacteria;DST;Deinococcus_Thermus	0	False
Bacteria;PANNAM;	0	False
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas	0	False
Eukaryota;TSAR;Alveolata	0	False
Bacteria;Terrabacteria;Firmicutes	0	False
Eukaryota:mito;;	0	False
