	W	Reject null hypothesis
30ddc9c6d1637c49a03abe069c2476e1	360	True
32f4880f103c557b3fce28cbd06c9c62	360	True
b4932d1dc1bcc7b7baf79edfa890c97b	360	True
ff5657d9cbaada1aaeb01403d8684763	360	True
1179c27796acb470b25bc2953cd3473d	360	True
bf492f769b9704a34d0c8953056d8369	360	True
f04140ce342cdae6a1a5d46b97bc80eb	360	True
efd02f8d603546d463599ce559c705aa	360	True
0729672ef0d2a2ac12a545d0156c7778	360	True
8255343de3819010ed26f78c3fd83b54	360	True
6ed7587ee62e19d0fce12e52a0532b0d	360	True
a517260427002e2df87979c058d72c33	360	True
3b8094adee640a859b3eed8c746724bf	360	True
68cfd688d721d7f90463b7ab39fa56a9	360	True
9e766e68095737b91dc9ad14edf1ab53	360	True
7298d3bae052cf70afa297679fd35a37	360	True
07545af36e5525c5ff2e485350572072	360	True
c6b8ecd5f5bffdb0ea9c4c8b35ddac33	360	True
ded72659a86117d5a36f6737882a50c1	360	True
00483b371cd20d9fc5855a23ab637a0e	360	True
dc9d55c2578f45aaa19781e3a54aa0fc	360	True
682fd02849e1044cee6c5f27f0dcad4a	360	True
8ca03755994bebfdae45dc8830a6e9a3	360	True
1a0529a1d325aae6b03a90189e162761	360	True
7e9524612cbab36fb4603a333f7f5046	360	True
9f588adbffd75f357e34411fac97d074	360	True
e0ff85d032b0cce6f625e5c995296087	360	True
660684d871cc695931151106977b5a1e	360	True
e22c6bae98fc60856045c2d0fb252a0c	360	True
1a76d23316471ddedaa49910110d02cd	360	True
6adf1fab3a902f10dbde832dfbd8ad75	360	True
0e5fca8e4fb3c95effd9a209dc33215d	360	True
e0e3327c85c46cc5ab9f1953252f7759	360	True
724b4d62d8e4d1c7d757aa626cb5af6d	360	True
c4d351332c043f3048986ada7ac9cc0b	360	True
c05d495a184abce9a775adca405d7dbd	360	True
4aa30e7e20d9e44afd12f896897e887a	360	True
5eb856aead5f59ba8da2bdf8a921b228	360	True
133363a604b5ec7c42977addf30e09f3	360	True
ce269c7ca312a6b72df9148afd9866bb	360	True
320a0daa535e0ffa4369b5b3a6da35f5	360	True
4b9a997e389d2d35c35be457d94abca4	360	True
c54d9c17d1b4399e52e3058c8677f25d	360	True
74efb408ebd934a97253afb7ea951e02	360	True
3ccf1139d72de14fdd2c5170b9e7cc87	360	True
57ea183d008d4f39f13b2ad509097815	360	True
aff7a4d2ee4893dc8d6df316ac634455	360	True
fc01b05d87cc80ae3c3e6c129335a086	360	True
72ef765527d4764b6d42a4294c54e86c	360	True
c221f5a3940824f9f54cf95365018cfc	360	True
685e48d9d03c07b8ed8b4c70b1ea6fd0	360	True
2f91284dbfcab55d0a50a383b1824e64	360	True
bb2a12dc06df968722fb901da9d75d37	360	True
6f7b5106826f8962026b580491e1a538	359	True
8b9ee370cf40800f3ef74829ac9a06e5	359	True
3df2e0a6b89d280c68c5e2965e2397ef	359	True
79695b77a3d43e383b8160b2dfaa6a96	359	True
33a1796af8fdd6a219abf016fcc846c6	359	True
51766ebe5f5905230aca4d0c72a1fee0	359	True
0e97aef52edee5fd1d5fc1633d31ee8c	359	True
2a9b7ca02173497fa41ed40d4fd4f7b8	359	True
ec202ad54f6d1747d0ab791e7043897c	359	True
315933003349b0f5aca57534ef9ca2d1	359	True
8ca44fcb6009ec4fc824f359b9108b42	359	True
b52362104b4d318bcd41fda5181d2e42	359	True
f77cd7fca98e721ff68a4dda1de4fd26	359	True
43469da4f1afc20728247df850d0725a	359	True
4105272435f4c6063ed49f8f89e9b93b	359	True
7d02c0142763d3c73e215e51db90463f	359	True
6b657876eb2c70859999e803270b0a62	359	True
96f11dfd2658ed42a5d15b25ad401697	359	True
bc787e8b1c2b89a6540ab5054128a711	359	True
3479b26deefcfa5d4a53e290f4ef5552	359	True
f88c2a19f27bea3ea46259b297fd9cf8	359	True
aa0cda289c7183e648f6c111b6be1c48	359	True
69d0b88f90ac918c136cc58bd01f5793	358	True
816b185533df30a1f859bc0d5e83b1d8	358	True
66ec33307a7a710ec73f5a8c98c8d004	358	True
0d561ab95e3c2441a04b985eca98989b	358	True
c8fa0ffe8a1a84c10ac992b0ebcccd33	358	True
5e241cf4d386663d89ce9f2ab957aead	358	True
539cc8f9b9ee7775f91096721b6191d0	358	True
5525ab6d0d362255a5d9ecb555cce342	358	True
5c948a093153f1f5c6ae03aa47a594b6	358	True
95881c56a9b0e99958ad6af3794282a8	358	True
2ba5f7b29ee6a8f64f9d9d76d12cc1c0	358	True
f31fb6e045121c99d9148808d7991aba	358	True
6425152150496bec7d1eda0dcbdbb2c2	358	True
b1fed3794685ab80aff7820250b3b6bf	358	True
06d650896168e3e788193743ad42dcb9	358	True
b7c22ca82248e1229845f5ce8bd1bbda	358	True
a80c7713d3dbde49d9e9df313039bdd9	358	True
7e875ba5b427bcabb02e8f7eaec02cf8	358	True
7fd4239078ff4418b5f33aae30fb8a62	358	True
e0d82688066a44fcf47c1b187e3dee1d	358	True
2a05b7f165905f26f79588e86e2fc6d5	358	True
cb3962cbd1f46cdf8cb6933c92519618	358	True
f8377fe2cf893f4c24297456b54b05bd	358	True
eefd5592ce91e389f32dd377129c8d62	358	True
77679555798f8f407c4cd0ab61eb2ba3	358	True
1974b3dd9d181c84df2c72c30852278b	358	True
13d6bf5846634a94a58ca3a3ee7f3728	358	True
