index,Bacteria,Eukaryota:plas,,Eukaryota,Eukaryota:mito,location,site
Baao_Agri_563,45962.0,5395.0,277.0,14.0,38.0,Baao,Agri
Baao_Center_563,39873.0,5109.0,110.0,58.0,34.0,Baao,Center
Baao_Tribu_563,40807.0,7410.0,252.0,21.0,26.0,Baao,Tribu
Bato_Center_563,48592.0,7730.0,981.0,164.0,253.0,Bato,Center
Bato_Resid_563,37007.0,4484.0,116.0,104.0,201.0,Bato,Resid
Bato_Tilap_563,46892.0,8410.0,1176.0,211.0,305.0,Bato,Tilap
Bato_Tribu_563,35310.0,6961.0,794.0,113.0,118.0,Bato,Tribu
Buhi_Center_563,48763.0,5932.0,460.0,80.0,298.0,Buhi,Center
Buhi_Resid_563,52307.0,5383.0,557.0,89.0,256.0,Buhi,Resid
Buhi_Tilap_563,53839.0,5649.0,313.0,130.0,275.0,Buhi,Tipal
Buhi_Tribu_563,45798.0,4379.0,418.0,90.0,234.0,Buhi,Tribu
