index,Bacteria;,Bacteria;PVC,Bacteria;PANNAM,Bacteria;FCB,Eukaryota:plas;Archaeplastida:plas,;,Bacteria;Terrabacteria,Eukaryota:plas;Excavata:plas,Bacteria;CMS,Eukaryota:plas;Cryptista:plas,Eukaryota;,Eukaryota;TSAR,Bacteria;CCD,Eukaryota:mito;Archaeplastida:mito,Eukaryota:plas;TSAR:plas,Bacteria;DST,Bacteria;Gracilicutes,Eukaryota:mito;,Eukaryota:mito;TSAR:mito,Eukaryota:plas;,Eukaryota;Obazoa,location,site
Baao_Agri_563,352.0,2059.0,17474.0,7819.0,3328.0,277.0,8370.0,50.0,9526.0,547.0,8.0,6.0,338.0,0.0,1470.0,0.0,24.0,0.0,38.0,0.0,0.0,Baao,Agri
Baao_Center_563,261.0,1680.0,14578.0,4053.0,4244.0,110.0,7974.0,10.0,11114.0,62.0,32.0,26.0,189.0,0.0,793.0,0.0,24.0,0.0,34.0,0.0,0.0,Baao,Center
Baao_Tribu_563,288.0,1662.0,16059.0,8392.0,6037.0,252.0,7318.0,91.0,6757.0,219.0,21.0,0.0,317.0,2.0,1059.0,0.0,14.0,0.0,24.0,4.0,0.0,Baao,Tribu
Bato_Center_563,773.0,3193.0,10106.0,6805.0,2978.0,981.0,15304.0,50.0,11887.0,1145.0,141.0,20.0,424.0,93.0,3557.0,10.0,90.0,8.0,152.0,0.0,3.0,Bato,Center
Bato_Resid_563,180.0,1299.0,6302.0,5236.0,2609.0,116.0,9178.0,258.0,14658.0,346.0,15.0,85.0,132.0,53.0,1271.0,2.0,20.0,0.0,148.0,0.0,4.0,Bato,Resid
Bato_Tilap_563,984.0,3598.0,8653.0,5321.0,2842.0,1176.0,15784.0,123.0,12125.0,715.0,204.0,7.0,358.0,49.0,4707.0,7.0,62.0,13.0,243.0,23.0,0.0,Bato,Tilap
Bato_Tribu_563,959.0,3762.0,4940.0,4830.0,2110.0,794.0,8910.0,25.0,11539.0,649.0,113.0,0.0,324.0,13.0,4174.0,0.0,46.0,0.0,105.0,3.0,0.0,Bato,Tribu
Buhi_Center_563,1397.0,12594.0,6383.0,5893.0,4063.0,460.0,15366.0,3.0,6589.0,11.0,80.0,0.0,455.0,0.0,1838.0,0.0,86.0,0.0,298.0,17.0,0.0,Buhi,Center
Buhi_Resid_563,1734.0,12670.0,8381.0,5740.0,3291.0,557.0,16973.0,12.0,6336.0,45.0,82.0,7.0,384.0,13.0,2025.0,0.0,89.0,12.0,231.0,10.0,0.0,Buhi,Resid
Buhi_Tilap_563,1573.0,14176.0,8901.0,7104.0,4183.0,313.0,14672.0,0.0,6849.0,4.0,125.0,0.0,431.0,0.0,1453.0,13.0,120.0,4.0,271.0,9.0,5.0,Buhi,Tipal
Buhi_Tribu_563,1439.0,10101.0,6637.0,4697.0,2864.0,418.0,16003.0,5.0,6465.0,86.0,85.0,5.0,357.0,0.0,1398.0,0.0,99.0,5.0,229.0,26.0,0.0,Buhi,Tribu
