index,Bacteria;;;;,Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae,Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria,Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas,Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria,;;;;,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas,Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Bacilli,Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Ignavibacteria,Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria,Bacteria;PVC;Planctomycetes;Planctomycetes_X;Planctomycetacia,Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas;Euglenida:plas,Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Clostridia,Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Acidimicrobiia,Bacteria;CMS;Cyanobacteria;Cyanobacteria_X;Cyanophyceae,Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;,Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Actinobacteria_XX,Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas;Cryptophyceae:plas,Eukaryota;;;;,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Pedinophyceae:plas,Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea,Bacteria;CCD;Chloroflexi;Chloroflexi_X;Chloroflexia,Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito;Embryophyceae:mito,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Chrysophyceae:plas,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;,Bacteria;PANNAM;;;,Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X;Deinococci,Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Acidobacteriia,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Mamiellophyceae:plas,Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X;Kiritimatiellae,Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X;Fusobacteriia,Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Subgroup_6,Eukaryota:mito;;;;,Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito;Eustigmatophyceae:mito,Bacteria;Terrabacteria;;;,Bacteria;CCD;Chloroflexi;Chloroflexi_X;Anaerolineae,Bacteria;FCB;Gemmatimonadetes;Gemmatimonadetes_X;Gemmatimonadetes_XX,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Bacillariophyceae:plas,Eukaryota:plas;;;;,Eukaryota:plas;Archaeplastida:plas;;;,Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Xanthophyceae:plas,Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Erysipelotrichia,Bacteria;PVC;Planctomycetes;Planctomycetes_X;,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Eustigmatophyceae:plas,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Mediophyceae:plas,Bacteria;CCD;Patescibacteria;Patescibacteria_X;Microgenomatia,Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Negativicutes,Bacteria;PVC;Planctomycetes;Planctomycetes_X;Phycisphaerae,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyta_XX:plas,Bacteria;Terrabacteria;Armatimonadetes;Armatimonadetes_X;Armatimonadia,Eukaryota:plas;TSAR:plas;Alveolata:plas;Dinoflagellata:plas;Dinophyceae:plas,Bacteria;FCB;Fibrobacteres;Fibrobacteres_X;Fibrobacteria,Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Thermoleophilia,Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;,Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas;Streptophyta_X:plas;Zygnemophyceae:plas,Bacteria;Gracilicutes;Dependentiae;Dependentiae_X;Babeliae,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Coscinodiscophyceae:plas,Eukaryota;Obazoa;Opisthokonta;Metazoa;,Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia,Bacteria;Gracilicutes;Spirochaetes;Spirochaetes_X;Leptospirae,Bacteria;PVC;Chlamydiae;Chlamydiae_X;Chlamydiae_XX,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Nephroselmidophyceae:plas,Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Blastocatellia_(Subgroup_4),Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;,Bacteria;CCD;Patescibacteria;Patescibacteria_X;Saccharimonadia,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Phaeophyceae:plas,Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas;Glaucophyta_X:plas;Glaucocystophyceae:plas,Bacteria;CCD;Chloroflexi;Chloroflexi_X;Dehalococcoidia,Bacteria;PVC;;;,Bacteria;Terrabacteria;Tenericutes;Tenericutes_X;Mollicutes,location,site
Baao_Agri_563,352.0,1834.0,561.0,7669.0,1403.0,3766.0,277.0,626.0,497.0,24.0,12085.0,225.0,50.0,667.0,548.0,9526.0,1037.0,5962.0,547.0,8.0,1157.0,6.0,331.0,0.0,501.0,17.0,25.0,0.0,0.0,120.0,0.0,17.0,0.0,0.0,38.0,392.0,3.0,120.0,21.0,0.0,0.0,144.0,0.0,618.0,3.0,0.0,310.0,0.0,0.0,18.0,0.0,5.0,118.0,0.0,6.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,14.0,0.0,0.0,0.0,4.0,Baao,Agri
Baao_Center_563,261.0,1383.0,494.0,3930.0,1668.0,2683.0,110.0,990.0,36.0,19.0,9346.0,294.0,10.0,61.0,993.0,11114.0,2014.0,6447.0,62.0,32.0,1563.0,13.0,189.0,0.0,404.0,0.0,31.0,0.0,10.0,23.0,3.0,11.0,0.0,0.0,34.0,155.0,0.0,104.0,0.0,0.0,0.0,194.0,13.0,182.0,0.0,0.0,194.0,0.0,0.0,4.0,0.0,0.0,63.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,Baao,Center
Baao_Tribu_563,288.0,1610.0,521.0,8298.0,761.0,2452.0,252.0,815.0,203.0,23.0,12205.0,43.0,91.0,212.0,292.0,6757.0,820.0,6422.0,219.0,21.0,4424.0,0.0,298.0,2.0,277.0,5.0,44.0,0.0,8.0,20.0,0.0,10.0,9.0,0.0,24.0,13.0,0.0,46.0,82.0,4.0,0.0,77.0,0.0,325.0,0.0,9.0,348.0,16.0,0.0,32.0,0.0,5.0,62.0,0.0,20.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,11.0,7.0,0.0,0.0,0.0,Baao,Tribu
Bato_Center_563,773.0,1513.0,622.0,5997.0,600.0,1179.0,981.0,1534.0,1333.0,697.0,7875.0,770.0,50.0,1412.0,1823.0,11887.0,174.0,9946.0,1145.0,141.0,49.0,20.0,390.0,93.0,11.0,2.0,205.0,10.0,24.0,135.0,5.0,13.0,15.0,8.0,152.0,0.0,10.0,107.0,260.0,0.0,0.0,604.0,0.0,0.0,87.0,147.0,816.0,1710.0,0.0,0.0,758.0,392.0,20.0,82.0,0.0,79.0,4.0,0.0,12.0,673.0,3.0,0.0,65.0,0.0,266.0,12.0,0.0,19.0,3.0,2.0,0.0,5.0,0.0,0.0,Bato,Center
Bato_Resid_563,180.0,407.0,109.0,3548.0,352.0,1845.0,116.0,1507.0,27.0,1622.0,3899.0,759.0,258.0,94.0,3230.0,14658.0,379.0,5680.0,346.0,15.0,525.0,85.0,121.0,53.0,122.0,0.0,50.0,2.0,3.0,44.0,6.0,6.0,17.0,0.0,148.0,0.0,5.0,66.0,0.0,0.0,0.0,47.0,0.0,40.0,0.0,14.0,803.0,0.0,2.0,5.0,113.0,58.0,29.0,4.0,0.0,66.0,0.0,0.0,0.0,302.0,4.0,0.0,14.0,0.0,123.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Bato,Resid
Bato_Tilap_563,984.0,1534.0,487.0,4756.0,798.0,1384.0,1176.0,1347.0,3535.0,491.0,6285.0,766.0,123.0,4040.0,1065.0,12125.0,176.0,6176.0,715.0,204.0,136.0,7.0,335.0,49.0,165.0,0.0,249.0,7.0,36.0,86.0,21.0,29.0,17.0,13.0,243.0,2.0,10.0,74.0,223.0,23.0,0.0,698.0,0.0,0.0,100.0,231.0,875.0,2154.0,0.0,0.0,1046.0,357.0,55.0,43.0,0.0,113.0,0.0,0.0,16.0,1221.0,0.0,0.0,17.0,0.0,118.0,19.0,0.0,13.0,12.0,14.0,0.0,0.0,0.0,0.0,Bato,Tilap
Bato_Tribu_563,959.0,1345.0,335.0,4308.0,317.0,688.0,794.0,1042.0,23.0,458.0,3653.0,1237.0,25.0,1616.0,1175.0,11539.0,39.0,5318.0,649.0,113.0,14.0,0.0,237.0,13.0,8.0,0.0,170.0,0.0,16.0,69.0,3.0,21.0,13.0,0.0,105.0,16.0,13.0,64.0,271.0,3.0,4.0,616.0,0.0,0.0,69.0,130.0,390.0,1411.0,0.0,0.0,1047.0,565.0,7.0,13.0,0.0,70.0,0.0,0.0,0.0,2060.0,0.0,0.0,25.0,0.0,99.0,26.0,0.0,74.0,16.0,5.0,0.0,0.0,0.0,0.0,Bato,Tribu
Buhi_Center_563,1397.0,4289.0,966.0,4376.0,72.0,961.0,460.0,3530.0,43.0,1381.0,4010.0,5977.0,3.0,20.0,2868.0,6589.0,190.0,8247.0,11.0,80.0,11.0,0.0,416.0,0.0,99.0,8.0,184.0,0.0,12.0,37.0,0.0,14.0,37.0,0.0,298.0,284.0,39.0,136.0,391.0,17.0,3.0,3687.0,0.0,0.0,0.0,696.0,843.0,396.0,0.0,0.0,1587.0,402.0,16.0,2.0,0.0,201.0,0.0,0.0,59.0,58.0,0.0,0.0,13.0,0.0,0.0,23.0,0.0,0.0,27.0,22.0,0.0,0.0,45.0,0.0,Buhi,Center
Buhi_Resid_563,1734.0,4041.0,883.0,4140.0,38.0,1131.0,557.0,2888.0,24.0,1489.0,5797.0,6865.0,12.0,15.0,3677.0,6336.0,225.0,10103.0,45.0,82.0,11.0,7.0,357.0,13.0,136.0,0.0,235.0,0.0,34.0,48.0,0.0,11.0,48.0,12.0,231.0,252.0,27.0,111.0,756.0,10.0,0.0,2701.0,0.0,0.0,0.0,435.0,674.0,391.0,0.0,0.0,1301.0,306.0,26.0,0.0,0.0,175.0,0.0,0.0,63.0,28.0,0.0,0.0,15.0,2.0,0.0,28.0,0.0,0.0,15.0,25.0,0.0,0.0,26.0,0.0,Buhi,Resid
Buhi_Tilap_563,1573.0,4976.0,725.0,5350.0,33.0,1175.0,313.0,3664.0,8.0,1627.0,6330.0,6660.0,0.0,87.0,1992.0,6849.0,202.0,9770.0,4.0,125.0,0.0,0.0,381.0,0.0,42.0,0.0,356.0,13.0,22.0,26.0,0.0,47.0,46.0,4.0,271.0,157.0,50.0,127.0,446.0,9.0,0.0,2510.0,0.0,0.0,8.0,782.0,801.0,125.0,0.0,0.0,1726.0,446.0,45.0,3.0,0.0,95.0,0.0,14.0,63.0,26.0,0.0,5.0,10.0,0.0,0.0,45.0,0.0,0.0,3.0,7.0,0.0,0.0,32.0,0.0,Buhi,Tipal
