id	location	site	pielou_evenness
#q2:types	categorical	categorical	numeric
Baao_Agri_563	Baao	Agri	0.826575346975746
Baao_Center_563	Baao	Center	0.811913436747347
Baao_Tribu_563	Baao	Tribu	0.822950181610671
Bato_Center_563	Bato	Center	0.810055352905156
Bato_Resid_563	Bato	Resid	0.799726654726797
Bato_Tilap_563	Bato	Tilap	0.803937791209918
Bato_Tribu_563	Bato	Tribu	0.767310457826137
Buhi_Center_563	Buhi	Center	0.810546785287947
Buhi_Resid_563	Buhi	Resid	0.804453307338075
Buhi_Tilap_563	Buhi	Tipal	0.810863068109071
Buhi_Tribu_563	Buhi	Tribu	0.806453382105452
