Group 1,Group 2,H,p-value,q-value
Agri (n=1),Center (n=3),0.1999999999999993,0.6547208460185774,0.8928011536616965
Agri (n=1),Resid (n=2),0.0,1.0,1.0
Agri (n=1),Tilap (n=1),1.0,0.31731050786291115,0.7932762696572778
Agri (n=1),Tipal (n=1),1.0,0.31731050786291115,0.7932762696572778
Agri (n=1),Tribu (n=3),0.1999999999999993,0.6547208460185774,0.8928011536616965
Center (n=3),Resid (n=2),0.0,1.0,1.0
Center (n=3),Tilap (n=1),1.8000000000000007,0.17971249487899588,0.7932762696572778
Center (n=3),Tipal (n=1),0.1999999999999993,0.6547208460185774,0.8928011536616965
Center (n=3),Tribu (n=3),0.04761904761904745,0.8272593465627116,1.0
Resid (n=2),Tilap (n=1),1.5,0.22067136191984324,0.7932762696572778
Resid (n=2),Tipal (n=1),0.0,1.0,1.0
Resid (n=2),Tribu (n=3),0.33333333333333215,0.5637028616507738,0.8928011536616965
Tilap (n=1),Tipal (n=1),1.0,0.31731050786291115,0.7932762696572778
Tilap (n=1),Tribu (n=3),1.8000000000000007,0.17971249487899588,0.7932762696572778
Tipal (n=1),Tribu (n=3),0.1999999999999993,0.6547208460185774,0.8928011536616965
