id	location	site	shannon_entropy
#q2:types	categorical	categorical	numeric
Baao_Agri_563	Baao	Agri	7.71085271488004
Baao_Center_563	Baao	Center	7.29572580914082
Baao_Tribu_563	Baao	Tribu	7.72232115167235
Bato_Center_563	Bato	Center	7.61523270937639
Bato_Resid_563	Bato	Resid	7.26536342081273
Bato_Tilap_563	Bato	Tilap	7.69356857995943
Bato_Tribu_563	Bato	Tribu	6.99705884940104
Buhi_Center_563	Buhi	Center	7.40595877310118
Buhi_Resid_563	Buhi	Resid	7.40464769961988
Buhi_Tilap_563	Buhi	Tipal	7.41713065006106
Buhi_Tribu_563	Buhi	Tribu	7.33075190455704
