	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_563	Baao_Agri_563	Baao	Baao	0.3096726474518038
1	Baao_Tribu_563	Baao_Agri_563	Baao	Baao	0.3313848062607368
2	Baao_Tribu_563	Baao_Center_563	Baao	Baao	0.4044665012406948
3	Baao_Agri_563	Bato_Center_563	Baao	Bato	0.7585178469173507
4	Baao_Agri_563	Bato_Resid_563	Baao	Bato	0.6336848635235732
5	Baao_Agri_563	Bato_Tilap_563	Baao	Bato	0.7619297575873258
6	Baao_Agri_563	Bato_Tribu_563	Baao	Bato	0.8316949799580072
7	Baao_Center_563	Bato_Center_563	Baao	Bato	0.7104409238404276
8	Baao_Center_563	Bato_Resid_563	Baao	Bato	0.5359324298530254
9	Baao_Center_563	Bato_Tilap_563	Baao	Bato	0.7229194502767704
10	Baao_Center_563	Bato_Tribu_563	Baao	Bato	0.7973372781065089
11	Baao_Tribu_563	Bato_Center_563	Baao	Bato	0.7913485397976713
12	Baao_Tribu_563	Bato_Resid_563	Baao	Bato	0.6776340904752816
13	Baao_Tribu_563	Bato_Tilap_563	Baao	Bato	0.7924460774957053
14	Baao_Tribu_563	Bato_Tribu_563	Baao	Bato	0.8407854552395495
15	Baao_Agri_563	Buhi_Center_563	Baao	Buhi	0.8481341859133422
16	Baao_Agri_563	Buhi_Resid_563	Baao	Buhi	0.8446984157281924
17	Baao_Agri_563	Buhi_Tilap_563	Baao	Buhi	0.835345485779729
18	Baao_Agri_563	Buhi_Tribu_563	Baao	Buhi	0.8423601832410765
19	Baao_Center_563	Buhi_Center_563	Baao	Buhi	0.7901078450085894
20	Baao_Center_563	Buhi_Resid_563	Baao	Buhi	0.7750763504485589
21	Baao_Center_563	Buhi_Tilap_563	Baao	Buhi	0.7778201946936438
22	Baao_Center_563	Buhi_Tribu_563	Baao	Buhi	0.7703998854743271
23	Baao_Tribu_563	Buhi_Center_563	Baao	Buhi	0.8658140866577592
24	Baao_Tribu_563	Buhi_Resid_563	Baao	Buhi	0.8684624928421455
25	Baao_Tribu_563	Buhi_Tilap_563	Baao	Buhi	0.8542422217980531
26	Baao_Tribu_563	Buhi_Tribu_563	Baao	Buhi	0.8684624928421455
0	Bato_Resid_563	Bato_Center_563	Bato	Bato	0.543424317617866
1	Bato_Tilap_563	Bato_Center_563	Bato	Bato	0.2586371444932239
2	Bato_Tilap_563	Bato_Resid_563	Bato	Bato	0.5743701087993892
3	Bato_Tribu_563	Bato_Center_563	Bato	Bato	0.36454953235350257
4	Bato_Tribu_563	Bato_Resid_563	Bato	Bato	0.6671359037984348
5	Bato_Tribu_563	Bato_Tilap_563	Bato	Bato	0.37053827066234013
6	Bato_Center_563	Baao_Agri_563	Bato	Baao	0.7585178469173507
7	Bato_Center_563	Baao_Center_563	Bato	Baao	0.7104409238404276
8	Bato_Center_563	Baao_Tribu_563	Bato	Baao	0.7913485397976713
9	Bato_Resid_563	Baao_Agri_563	Bato	Baao	0.6336848635235732
10	Bato_Resid_563	Baao_Center_563	Bato	Baao	0.5359324298530254
11	Bato_Resid_563	Baao_Tribu_563	Bato	Baao	0.6776340904752816
12	Bato_Tilap_563	Baao_Agri_563	Bato	Baao	0.7619297575873258
13	Bato_Tilap_563	Baao_Center_563	Bato	Baao	0.7229194502767704
