	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_563	Baao_Agri_563	Baao	Baao	0.49476439790575916
1	Baao_Tribu_563	Baao_Agri_563	Baao	Baao	0.5703380588876772
2	Baao_Tribu_563	Baao_Center_563	Baao	Baao	0.5978520286396182
3	Baao_Agri_563	Bato_Center_563	Baao	Bato	0.8726495726495727
4	Baao_Agri_563	Bato_Resid_563	Baao	Bato	0.7947154471544715
5	Baao_Agri_563	Bato_Tilap_563	Baao	Bato	0.862124898621249
6	Baao_Agri_563	Bato_Tribu_563	Baao	Bato	0.8949308755760369
7	Baao_Center_563	Bato_Center_563	Baao	Bato	0.8668582375478927
8	Baao_Center_563	Bato_Resid_563	Baao	Bato	0.7617924528301887
9	Baao_Center_563	Bato_Tilap_563	Baao	Bato	0.853393665158371
10	Baao_Center_563	Bato_Tribu_563	Baao	Bato	0.882229232386961
11	Baao_Tribu_563	Bato_Center_563	Baao	Bato	0.8883374689826302
12	Baao_Tribu_563	Bato_Resid_563	Baao	Bato	0.8162267839687195
13	Baao_Tribu_563	Bato_Tilap_563	Baao	Bato	0.8764752163650669
14	Baao_Tribu_563	Bato_Tribu_563	Baao	Bato	0.9022421524663677
15	Baao_Agri_563	Buhi_Center_563	Baao	Buhi	0.8976234003656307
16	Baao_Agri_563	Buhi_Resid_563	Baao	Buhi	0.8961504028648165
17	Baao_Agri_563	Buhi_Tilap_563	Baao	Buhi	0.8888888888888888
18	Baao_Agri_563	Buhi_Tribu_563	Baao	Buhi	0.8948837209302326
19	Baao_Center_563	Buhi_Center_563	Baao	Buhi	0.8854166666666666
20	Baao_Center_563	Buhi_Resid_563	Baao	Buhi	0.884028484231943
21	Baao_Center_563	Buhi_Tilap_563	Baao	Buhi	0.8742138364779874
22	Baao_Center_563	Buhi_Tribu_563	Baao	Buhi	0.8808510638297873
23	Baao_Tribu_563	Buhi_Center_563	Baao	Buhi	0.9115826702033598
