	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_563	Baao_Agri_563	Baao	Baao	0.3431137239466548
1	Baao_Tribu_563	Baao_Agri_563	Baao	Baao	0.4639195845422578
2	Baao_Tribu_563	Baao_Center_563	Baao	Baao	0.4905124920569816
3	Baao_Agri_563	Bato_Center_563	Baao	Bato	0.6303407741754843
4	Baao_Agri_563	Bato_Resid_563	Baao	Bato	0.57895872594806
5	Baao_Agri_563	Bato_Tilap_563	Baao	Bato	0.6692571702487059
6	Baao_Agri_563	Bato_Tribu_563	Baao	Bato	0.64732903439706
7	Baao_Center_563	Bato_Center_563	Baao	Bato	0.6379838263981917
8	Baao_Center_563	Bato_Resid_563	Baao	Bato	0.5746856694494554
9	Baao_Center_563	Bato_Tilap_563	Baao	Bato	0.6811222582918143
10	Baao_Center_563	Bato_Tribu_563	Baao	Bato	0.6566766950275728
11	Baao_Tribu_563	Bato_Center_563	Baao	Bato	0.6305547194747896
12	Baao_Tribu_563	Bato_Resid_563	Baao	Bato	0.5859830027344204
13	Baao_Tribu_563	Bato_Tilap_563	Baao	Bato	0.6661631261957301
14	Baao_Tribu_563	Bato_Tribu_563	Baao	Bato	0.6632491081315927
15	Baao_Agri_563	Buhi_Center_563	Baao	Buhi	0.6523633045191884
16	Baao_Agri_563	Buhi_Resid_563	Baao	Buhi	0.6482986254471207
17	Baao_Agri_563	Buhi_Tilap_563	Baao	Buhi	0.6817834073690181
18	Baao_Agri_563	Buhi_Tribu_563	Baao	Buhi	0.6544437080904192
19	Baao_Center_563	Buhi_Center_563	Baao	Buhi	0.6512967356300814
20	Baao_Center_563	Buhi_Resid_563	Baao	Buhi	0.6649155725142367
21	Baao_Center_563	Buhi_Tilap_563	Baao	Buhi	0.6661239253777911
22	Baao_Center_563	Buhi_Tribu_563	Baao	Buhi	0.6681208407725404
23	Baao_Tribu_563	Buhi_Center_563	Baao	Buhi	0.6585055324991258
24	Baao_Tribu_563	Buhi_Resid_563	Baao	Buhi	0.6855685107377252
25	Baao_Tribu_563	Buhi_Tilap_563	Baao	Buhi	0.662319834314348
26	Baao_Tribu_563	Buhi_Tribu_563	Baao	Buhi	0.6679039028424465
0	Bato_Resid_563	Bato_Center_563	Bato	Bato	0.533066406671202
1	Bato_Tilap_563	Bato_Center_563	Bato	Bato	0.4462363931620457
2	Bato_Tilap_563	Bato_Resid_563	Bato	Bato	0.5388209324156332
3	Bato_Tribu_563	Bato_Center_563	Bato	Bato	0.4589974492310478
4	Bato_Tribu_563	Bato_Resid_563	Bato	Bato	0.5821737415204338
5	Bato_Tribu_563	Bato_Tilap_563	Bato	Bato	0.5096241750215817
6	Bato_Center_563	Baao_Agri_563	Bato	Baao	0.6303407741754843
7	Bato_Center_563	Baao_Center_563	Bato	Baao	0.6379838263981917
8	Bato_Center_563	Baao_Tribu_563	Bato	Baao	0.6305547194747896
9	Bato_Resid_563	Baao_Agri_563	Bato	Baao	0.57895872594806
10	Bato_Resid_563	Baao_Center_563	Bato	Baao	0.5746856694494554
