	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_563	Baao_Agri_563	Baao	Baao	0.1084302736946299
1	Baao_Tribu_563	Baao_Agri_563	Baao	Baao	0.08267746545731214
2	Baao_Tribu_563	Baao_Center_563	Baao	Baao	0.1414972466099098
3	Baao_Agri_563	Bato_Center_563	Baao	Bato	0.2177705846449738
4	Baao_Agri_563	Bato_Resid_563	Baao	Bato	0.2074987913904233
5	Baao_Agri_563	Bato_Tilap_563	Baao	Bato	0.2484930501078984
6	Baao_Agri_563	Bato_Tribu_563	Baao	Bato	0.2936791902763421
7	Baao_Center_563	Bato_Center_563	Baao	Bato	0.1976637028314994
8	Baao_Center_563	Bato_Resid_563	Baao	Bato	0.160138436326898
9	Baao_Center_563	Bato_Tilap_563	Baao	Bato	0.222581554046214
10	Baao_Center_563	Bato_Tribu_563	Baao	Bato	0.2676444644974793
11	Baao_Tribu_563	Bato_Center_563	Baao	Bato	0.2375458901866175
12	Baao_Tribu_563	Bato_Resid_563	Baao	Bato	0.2437855868987509
13	Baao_Tribu_563	Bato_Tilap_563	Baao	Bato	0.2715043552348035
14	Baao_Tribu_563	Bato_Tribu_563	Baao	Bato	0.3058636756442173
15	Baao_Agri_563	Buhi_Center_563	Baao	Buhi	0.3274157084692563
16	Baao_Agri_563	Buhi_Resid_563	Baao	Buhi	0.3258409155809168
17	Baao_Agri_563	Buhi_Tilap_563	Baao	Buhi	0.308208714454189
18	Baao_Agri_563	Buhi_Tribu_563	Baao	Buhi	0.3286641111368911
19	Baao_Center_563	Buhi_Center_563	Baao	Buhi	0.3140959380907333
20	Baao_Center_563	Buhi_Resid_563	Baao	Buhi	0.3078516817395662
21	Baao_Center_563	Buhi_Tilap_563	Baao	Buhi	0.295504518824466
22	Baao_Center_563	Buhi_Tribu_563	Baao	Buhi	0.3083010269458631
23	Baao_Tribu_563	Buhi_Center_563	Baao	Buhi	0.3479032575745568
24	Baao_Tribu_563	Buhi_Resid_563	Baao	Buhi	0.3495257270614642
25	Baao_Tribu_563	Buhi_Tilap_563	Baao	Buhi	0.3277136337082071
26	Baao_Tribu_563	Buhi_Tribu_563	Baao	Buhi	0.350680258938745
0	Bato_Resid_563	Bato_Center_563	Bato	Bato	0.1947577493541197
1	Bato_Tilap_563	Bato_Center_563	Bato	Bato	0.1010830027319954
2	Bato_Tilap_563	Bato_Resid_563	Bato	Bato	0.2223703088142709
3	Bato_Tribu_563	Bato_Center_563	Bato	Bato	0.1485430605276333
4	Bato_Tribu_563	Bato_Resid_563	Bato	Bato	0.2224445891702128
5	Bato_Tribu_563	Bato_Tilap_563	Bato	Bato	0.1461780790166013
6	Bato_Center_563	Baao_Agri_563	Bato	Baao	0.2177705846449738
7	Bato_Center_563	Baao_Center_563	Bato	Baao	0.1976637028314994
8	Bato_Center_563	Baao_Tribu_563	Bato	Baao	0.2375458901866175
9	Bato_Resid_563	Baao_Agri_563	Bato	Baao	0.2074987913904233
10	Bato_Resid_563	Baao_Center_563	Bato	Baao	0.160138436326898
11	Bato_Resid_563	Baao_Tribu_563	Bato	Baao	0.2437855868987509
12	Bato_Tilap_563	Baao_Agri_563	Bato	Baao	0.2484930501078984
13	Bato_Tilap_563	Baao_Center_563	Bato	Baao	0.222581554046214
14	Bato_Tilap_563	Baao_Tribu_563	Bato	Baao	0.2715043552348035
15	Bato_Tribu_563	Baao_Agri_563	Bato	Baao	0.2936791902763421
16	Bato_Tribu_563	Baao_Center_563	Bato	Baao	0.2676444644974793
17	Bato_Tribu_563	Baao_Tribu_563	Bato	Baao	0.3058636756442173
18	Bato_Center_563	Buhi_Center_563	Bato	Buhi	0.2702667669603528
19	Bato_Center_563	Buhi_Resid_563	Bato	Buhi	0.2489941382198074
20	Bato_Center_563	Buhi_Tilap_563	Bato	Buhi	0.2486228858716684
21	Bato_Center_563	Buhi_Tribu_563	Bato	Buhi	0.2566887676726704
22	Bato_Resid_563	Buhi_Center_563	Bato	Buhi	0.2852093903412962
23	Bato_Resid_563	Buhi_Resid_563	Bato	Buhi	0.2782072524563786
24	Bato_Resid_563	Buhi_Tilap_563	Bato	Buhi	0.2780932434810798
25	Bato_Resid_563	Buhi_Tribu_563	Bato	Buhi	0.2831500754088924
26	Bato_Tilap_563	Buhi_Center_563	Bato	Buhi	0.2942853787076518
27	Bato_Tilap_563	Buhi_Resid_563	Bato	Buhi	0.2790422498151809
28	Bato_Tilap_563	Buhi_Tilap_563	Bato	Buhi	0.2806688778728491
29	Bato_Tilap_563	Buhi_Tribu_563	Bato	Buhi	0.285313569216034
30	Bato_Tribu_563	Buhi_Center_563	Bato	Buhi	0.2930495034209854
31	Bato_Tribu_563	Buhi_Resid_563	Bato	Buhi	0.291945194790982
32	Bato_Tribu_563	Buhi_Tilap_563	Bato	Buhi	0.2893642958218
33	Bato_Tribu_563	Buhi_Tribu_563	Bato	Buhi	0.2938591460886649
0	Buhi_Resid_563	Buhi_Center_563	Buhi	Buhi	0.0720123774989046
