sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Baao_Agri_EUK	96110	75898	73851	74324	64715	59751
Baao_Center_EUK	102129	82670	80848	81363	68546	55898
Baao_Tribu_EUK	109568	86268	84224	84728	74590	67135
Bato_Center_EUK	94950	76541	75539	75588	71629	69395
Bato_Resid_EUK	130273	101421	98896	99646	85006	74622
Bato_Tilap_EUK	87220	71452	70409	70503	67000	65588
Bato_Tribu_EUK	96890	76498	75566	75481	71730	69326
Buhi_Center_EUK	97479	76312	74825	74738	66809	62092
Buhi_Resid_EUK	96647	75667	74247	74104	66905	62516
Buhi_Tilap_EUK	90369	68099	67010	66903	59842	55448
Buhi_Tribu_EUK	84083	66581	65404	65368	59928	56638
