# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK	Bato_Resid_EUK	Bato_Tilap_EUK	Bato_Tribu_EUK	Buhi_Center_EUK	Buhi_Resid_EUK	Buhi_Tilap_EUK	Buhi_Tribu_EUK
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales	0.0	0.0	64.0	6558.0	385.0	4902.0	8340.0	2612.0	2363.0	1010.0	1748.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Pseudodendromonadales	897.0	283.0	1572.0	855.0	235.0	912.0	1482.0	881.0	859.0	865.0	574.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia	5017.0	1974.0	3842.0	5524.0	3156.0	3389.0	2909.0	2028.0	3287.0	987.0	3053.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Chlamydomonadales	5338.0	14204.0	7557.0	6793.0	21567.0	4740.0	11783.0	2009.0	1933.0	2109.0	1509.0
Eukaryota;Obazoa;Opisthokonta;Fungi;;	65.0	18.0	129.0	159.0	182.0	160.0	147.0	613.0	413.0	383.0	477.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X;Fungi_XX	0.0	0.0	0.0	181.0	58.0	155.0	252.0	1038.0	508.0	824.0	551.0
Eukaryota;;;;;	1133.0	668.0	1261.0	1640.0	521.0	2204.0	2712.0	1088.0	1417.0	1349.0	934.0
Eukaryota;TSAR;Stramenopiles;;;	14.0	0.0	5.0	11.0	7.0	3.0	0.0	0.0	51.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Mesochytriales	53.0	20.0	131.0	108.0	408.0	210.0	1029.0	0.0	0.0	0.0	25.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Pansomonadida	757.0	213.0	770.0	30.0	63.0	109.0	101.0	122.0	151.0	66.0	60.0
Eukaryota;TSAR;Rhizaria;Cercozoa;;	441.0	310.0	575.0	171.0	252.0	179.0	108.0	213.0	208.0	199.0	107.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales	2470.0	214.0	364.0	1911.0	5063.0	1321.0	1672.0	109.0	1053.0	43.0	1163.0
;;;;;	92.0	31.0	202.0	237.0	25.0	481.0	459.0	229.0	271.0	323.0	215.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_5	0.0	0.0	26.0	0.0	255.0	13.0	0.0	4.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;	183.0	92.0	61.0	575.0	369.0	418.0	861.0	744.0	431.0	585.0	531.0
Eukaryota;TSAR;Alveolata;Ciliophora;Colpodea;Colpodea_X	30.0	6.0	16.0	60.0	423.0	195.0	46.0	437.0	492.0	344.0	605.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina	20.0	13.0	0.0	38.0	7.0	50.0	35.0	9.0	24.0	75.0	0.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X	50.0	141.0	187.0	7.0	35.0	160.0	43.0	0.0	297.0	54.0	213.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;Tremulida	14.0	7.0	29.0	10.0	0.0	39.0	31.0	27.0	61.0	23.0	11.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Choanoflagellatea_X	151.0	24.0	146.0	0.0	14.0	10.0	35.0	0.0	0.0	0.0	7.0
Eukaryota;Archaeplastida;;;;	21.0	0.0	7.0	6.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X	140.0	18.0	64.0	202.0	150.0	265.0	158.0	620.0	1048.0	524.0	406.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Hyphochytriomyceta;Hyphochytriales	19.0	12.0	7.0	19.0	33.0	6.0	19.0	7.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina	175.0	180.0	11.0	33.0	636.0	487.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Ochromonadales	2364.0	5379.0	4117.0	268.0	1607.0	1994.0	2509.0	7221.0	6151.0	4482.0	3293.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalozoa_X	458.0	105.0	157.0	142.0	133.0	307.0	186.0	492.0	492.0	762.0	350.0
Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea;Colpodellida	969.0	700.0	2005.0	453.0	2527.0	553.0	712.0	699.0	4230.0	541.0	7669.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes	0.0	0.0	0.0	48.0	33.0	49.0	23.0	39.0	40.0	49.0	37.0
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsida;Perkinsida_X	1994.0	1154.0	1385.0	243.0	210.0	958.0	255.0	1782.0	902.0	655.0	906.0
Eukaryota;TSAR;;;;	182.0	59.0	112.0	129.0	7.0	68.0	27.0	48.0	13.0	22.0	32.0
Eukaryota;Obazoa;Opisthokonta;;;	39.0	68.0	3.0	92.0	14.0	119.0	359.0	178.0	123.0	183.0	103.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae;Pedinomonadales	9704.0	10612.0	26225.0	331.0	7059.0	966.0	63.0	33.0	31.0	0.0	0.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales	3483.0	4040.0	1274.0	1360.0	1469.0	1516.0	2008.0	473.0	351.0	450.0	325.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Licmophorales	0.0	0.0	9.0	0.0	7.0	0.0	0.0	123.0	161.0	127.0	88.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Sphaeropleales	547.0	788.0	489.0	1275.0	1727.0	1662.0	2326.0	9694.0	5873.0	9487.0	4310.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;OLIGO4	0.0	0.0	5.0	0.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;	402.0	2788.0	1798.0	124.0	265.0	127.0	54.0	224.0	107.0	221.0	277.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales	0.0	8.0	0.0	19774.0	2251.0	15165.0	7652.0	1799.0	2688.0	5710.0	305.0
Eukaryota;TSAR;Rhizaria;Rhizaria_X;Rhizaria_XX;Aquavolonida	3.0	0.0	4.0	0.0	6.0	0.0	0.0	9.0	8.0	0.0	0.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-10	897.0	230.0	632.0	598.0	341.0	906.0	541.0	1986.0	1298.0	1376.0	554.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;	0.0	0.0	13.0	12.0	0.0	17.0	41.0	34.0	52.0	13.0	15.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;;;	1733.0	603.0	442.0	362.0	757.0	489.0	503.0	419.0	321.0	335.0	327.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chromulinales	1087.0	756.0	1349.0	73.0	870.0	977.0	30.0	1350.0	1276.0	525.0	955.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida	64.0	6.0	28.0	16.0	22.0	166.0	93.0	523.0	448.0	495.0	408.0
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea;Prorodontida	579.0	182.0	174.0	169.0	441.0	212.0	125.0	199.0	169.0	282.0	212.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Naviculales	0.0	0.0	0.0	16.0	0.0	0.0	7.0	12.0	8.0	14.0	11.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Craspedida	1228.0	671.0	732.0	21.0	0.0	106.0	279.0	590.0	453.0	427.0	410.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Goniomonadales	0.0	0.0	0.0	0.0	16.0	7.0	0.0	75.0	132.0	46.0	52.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea	784.0	0.0	7.0	2420.0	6.0	627.0	147.0	10.0	181.0	2998.0	6630.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Cladochytriales	0.0	0.0	23.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales	7.0	0.0	28.0	182.0	37.0	215.0	423.0	314.0	622.0	195.0	420.0
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3;Stramenopiles_X-Group-3_X	0.0	0.0	0.0	26.0	0.0	29.0	25.0	155.0	49.0	91.0	79.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Gastrotricha;Gastrotricha_X	14.0	0.0	45.0	0.0	98.0	2.0	4.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	15.0	28.0	28.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Polyphagales	38.0	0.0	16.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;	6.0	0.0	0.0	39.0	15.0	54.0	28.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Paraphysomonadales	242.0	134.0	353.0	144.0	137.0	209.0	59.0	595.0	551.0	266.0	454.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida;Raphidista	159.0	35.0	101.0	8.0	0.0	20.0	12.0	94.0	77.0	48.0	89.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Rotifera;Rotifera_X	458.0	26.0	24.0	3276.0	4505.0	1524.0	622.0	127.0	392.0	115.0	160.0
Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X	0.0	0.0	0.0	1239.0	470.0	155.0	106.0	24.0	0.0	39.0	276.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Dolichomastigales	7.0	19.0	12.0	0.0	32.0	16.0	0.0	87.0	84.0	75.0	72.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Litostomatea_X	327.0	166.0	216.0	508.0	1152.0	220.0	110.0	216.0	401.0	197.0	231.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X	241.0	133.0	201.0	329.0	304.0	456.0	270.0	4047.0	2640.0	3661.0	2059.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Spongomonadida	3.0	0.0	7.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Rhizophydiales	63.0	5.0	15.0	195.0	78.0	179.0	124.0	1224.0	913.0	1031.0	992.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae;Synchromophyceae_X	138.0	102.0	176.0	16.0	10.0	87.0	23.0	19.0	14.0	56.0	20.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Rozellomycota;Rozellomycota_X	79.0	206.0	147.0	7.0	102.0	48.0	30.0	95.0	22.0	31.0	33.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;	0.0	0.0	6.0	0.0	0.0	0.0	0.0	18.0	10.0	25.0	2.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida;Pterista	95.0	33.0	50.0	0.0	0.0	22.0	42.0	0.0	9.0	7.0	10.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;	104.0	220.0	240.0	11.0	22.0	0.0	6.0	95.0	44.0	41.0	18.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Centroplasthelida_XX;Centroplasthelida_XXX	40.0	9.0	22.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina	0.0	0.0	11.0	0.0	0.0	2.0	7.0	0.0	9.0	3.0	0.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecales	40.0	19.0	4.0	12.0	13.0	44.0	31.0	238.0	244.0	154.0	191.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;	1311.0	2628.0	1022.0	1034.0	890.0	2524.0	1242.0	175.0	183.0	535.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Gromochytriales	0.0	14.0	0.0	324.0	6.0	273.0	596.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2	5.0	0.0	8.0	67.0	10.0	137.0	68.0	21.0	81.0	30.0	84.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia	61.0	0.0	29.0	151.0	1104.0	69.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria	0.0	0.0	0.0	0.0	3.0	26.0	0.0	9.0	20.0	0.0	15.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae;Dictyochophyceae_X	224.0	135.0	278.0	82.0	70.0	321.0	34.0	102.0	149.0	73.0	135.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Blastocladiomycota;Blastocladiomycotina	8.0	0.0	7.0	0.0	41.0	77.0	0.0	9.0	4.0	4.0	0.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Watanabea-Clade	0.0	0.0	5.0	419.0	80.0	296.0	358.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina	0.0	0.0	6.0	11.0	0.0	11.0	9.0	17.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Eunotiales	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygophlyctidales	12.0	0.0	0.0	934.0	425.0	823.0	620.0	94.0	72.0	63.0	96.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2	0.0	0.0	26.0	100.0	202.0	107.0	279.0	1669.0	1008.0	404.0	540.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;;	5.0	0.0	6.0	0.0	141.0	9.0	0.0	3.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Bacillariales	199.0	57.0	347.0	943.0	67.0	571.0	1793.0	17.0	10.0	0.0	10.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Cymbellales	10.0	0.0	6.0	7.0	0.0	0.0	16.0	20.0	6.0	17.0	0.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida	120.0	38.0	64.0	118.0	58.0	114.0	381.0	280.0	283.0	429.0	86.0
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_XX;Stramenopiles_XXX	0.0	0.0	0.0	9.0	6.0	33.0	345.0	0.0	0.0	0.0	0.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;;	146.0	0.0	23.0	3.0	0.0	0.0	0.0	0.0	33.0	19.0	19.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Monomastigales	905.0	187.0	202.0	432.0	458.0	264.0	292.0	305.0	307.0	314.0	163.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa;Vampyrellida	0.0	0.0	3.0	16.0	27.0	137.0	316.0	655.0	392.0	495.0	550.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Chlorophyceae_X	0.0	0.0	0.0	38.0	23.0	15.0	25.0	24.0	51.0	38.0	10.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae;Xanthophyceae_X	154.0	16.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_X	0.0	0.0	0.0	23.0	0.0	0.0	17.0	442.0	396.0	482.0	108.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Suessiales	6.0	0.0	67.0	4.0	20.0	0.0	0.0	326.0	408.0	232.0	627.0
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida;Ichthyosphonida_X	0.0	0.0	0.0	7.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;;	35.0	16.0	54.0	0.0	14.0	42.0	42.0	75.0	55.0	26.0	37.0
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	5.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Synurales	119.0	10.0	15.0	62.0	1846.0	1185.0	32.0	173.0	350.0	120.0	339.0
Eukaryota;TSAR;Alveolata;Ciliophora;;	274.0	100.0	0.0	0.0	127.0	0.0	0.0	114.0	22.0	6.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Raphidophyceae;Raphidophyceae_X	0.0	0.0	0.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia	16.0	0.0	7.0	0.0	0.0	0.0	0.0	21.0	0.0	20.0	3.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Trebouxiophyceae_X	171.0	110.0	42.0	0.0	132.0	49.0	0.0	342.0	189.0	302.0	209.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales;Pirsoniales_X	71.0	74.0	0.0	36.0	114.0	116.0	28.0	0.0	15.0	5.0	12.0
