	W	Reject null hypothesis
776714effd75a78106a69292854beaba	2570	True
0d8d2fdbf69d79b6ae1d86a237e63d26	2563	True
9633eb3c5f6e305feef6490a6298a53f	2398	True
403eb5cdcd64c2a0e8cda478de4cd8e2	2395	True
a7eb64d28b5b8f06b6ed0b9bafbce4ba	2303	True
bd238839688c3aab6f9b4c71d2486be5	2245	False
744cba15e30ae8a71c52b04f89309a90	2205	False
fde65f7ca7075274e4b7cef0ac190fce	2181	False
59e964ff35521d9d90b4a82ba18ea1b8	2140	False
fd0c4b9da089eb1e932862515c463cbe	2125	False
329ea4093e03883aecd3440c950f21e4	2092	False
202b806ef89bead707b09b844913e49f	2035	False
e8dbe44bce46a2e075888646a6d4e443	2011	False
54b98d1df0eecb3b2dcf0816f9236bbc	2001	False
56ddcffd23a2d6e84b97a5160397ca59	1996	False
4c35cdb0ce34965943aa4c0f2a6e1502	1950	False
115d83db4eaea9ce5eb56cb13f7ca9ca	1858	False
db560c3a07b6e7683bf91dd5f4709894	1843	False
e7e79b9aff2204bb9d06d4392a73046c	1837	False
5ec34a70b8fe197c6924283ed08ed873	1827	False
45e6a5f2202af21b8ee24d4e19e33e58	1808	False
6800366217a5f526ecce4def6225c260	1795	False
1d1f3802b855b1bc3fb25788cbbca760	1777	False
6065d247ec939b12b042a5adef9c5d7a	1768	False
fe3ce33933e0dc8977a96dbcebd994b6	1735	False
2f000c167ea444f455dd94b3c9323296	1721	False
7893f058d478f20e4aad4dc429eb677a	1720	False
a87abbfcc2cc28455c9e4a72ce723c0e	1687	False
2905cf8c18fec147a9b432d65881ffe8	1616	False
e7444b246284282a8a2744a7df642789	1610	False
72df1feee802d9aee74dd38848704656	1588	False
1508812a78e9459dc7449fccc86712f9	1584	False
9da52ae8b7f96e87d2a66eaaaacef36c	1538	False
59103b0a92caf0f1fe5e42859a49cac7	1520	False
636064b06cf587aa9d8f0bbf13c23ff1	1498	False
0dd8d841b2e8ee00b5de06e489d4ff00	1483	False
13f73193985b4e7f8f747aa5c71ba699	1446	False
c7305cba7b3f3bd529bb69f40fa63853	1443	False
9a5792af5399650dd112e4ded259680d	1439	False
5ac5b2c8c0ae5bb1c3517b4c14c18e4d	1436	False
a26d344dc2b0672f0b3152ca85d8f438	1434	False
d5aec03ed1f1d2c1c19d28e29de0b13b	1425	False
1d67f9094160ca2958c83b58f455eef7	1417	False
e26b4a65b5dea2d576995fc2a09360a5	1409	False
a2a5bfbbae354f9f62f7a04b1f0fed43	1358	False
3f374e92a831a0d9f0123ae7b8924856	1319	False
3d50db1c065d6bb53dcaf1dd266ce63a	1289	False
8ba81a7e43783b98ac9f1f83397f0530	1264	False
5f342778ec1ba97769be451fe04f57a9	1251	False
ed5699d1ca0009784ef1d2a9a4730efd	1248	False
2a3244104894c3a398ee63cd6f5e5543	1237	False
b1eb466c65dbff8a9b84a62cf9346ee1	1235	False
e79c1cbdbbf8b1235ea3aa4ad370dc98	1228	False
55d9d6a74e5bfe30b72c60751d05facf	1215	False
08198ec5a6770f0ea9c8f27e2faaee34	1210	False
3d50f766cf62010d184da70952474323	1205	False
cc449ec473da7e54dc610e689ace3bcc	1194	False
afd8fbba93c7de1c859516aa4bd860d0	1178	False
b548cdf5587eff0df6bc1bbd25434b0d	1171	False
e419e5ec4252cd83661f938c57109de1	1168	False
2228a3ce91d614a6b549379063e2a62b	1136	False
2fcdb5c38fda1b854d037fab50b1a7f3	1123	False
5218d9fb1d9107455651d3d7c06d9b98	1115	False
9a8186dff4c71b11a5a5cb02018d1325	1111	False
44743ca687daffb2e0de7fcc4a78f767	1086	False
57d6e3dafab425c3d516fca6d3d24aa5	1065	False
4e830fe73999d51807b8928eebf14f09	1053	False
cfbcd2bbddf6fa6f30712661e58831cf	1044	False
a7c7342bcdacb622695f8094c26fb3c4	1032	False
844a995d19f7cc89c1c0b0677e44b744	1030	False
d2db25b9d5ecb215328ea4aef2b4a2ed	1028	False
ff970567804b3a32527d37642c1f7e42	1027	False
283c3525cae86a0bb6c05af3f4262281	1013	False
603f5fcb5b6d558633b39d5fcc682a1b	1013	False
c382a5ee99a49ca715294944346736ba	998	False
b84645491c217599a2e0c04174b66316	996	False
15808c411641470990a33394ea3c9446	985	False
39f49016c3c04314481f5a240ef0a059	981	False
efceff4d7608c9fec8f8b82108b0a0ff	980	False
e239fc69c830ffa162b22147fd2ceaee	978	False
ec03eb1bfe0e8f141283ff1604d7dee4	972	False
b8de072cd4d8ad9d2c9e53a454df4c34	964	False
308b2a5dc7d684efbf4c8fdc25ee39f2	962	False
aadaaabfa514409383e935f8faa5b786	954	False
07c5a724250697089a5b2d686c4ca3d5	953	False
92c1f2b8a7e011303c1f546fd9efb480	942	False
ff55927f170e6c91bdb0e5d560f376c5	940	False
731929a310700ee7e9204e06a1f0a967	921	False
e390a5c33e48f576ffcc5ce5f565a99e	918	False
e8beafaeec450925adcdba2154eb76b9	914	False
a7430c6dc2adfe13d5eacab7d133410d	908	False
36da54f95c449ab9eb8750a8c8575803	908	False
1edb712bbd1d54ae675e1ed0d875b41e	905	False
79cf21df277c5afc7bce476df58dc218	899	False
edd8a2473578a3c34d4813eab64ddf38	897	False
af0df55545ff779e55909aeee9549614	892	False
6c7d4e66b56060a77e45045f86d5bf79	892	False
7b26f12f2cb51830e1aef3b535e0834d	887	False
c6429f6717ac5817685cdea0a3bfeb1f	886	False
751db28b75c66e87261d9227b74fb8dd	886	False
9b95272f9b22f57fb5d7d0ab5294046e	879	False
5e9022e7728e60f5337acb7af6310283	877	False
dfdc0fca38d8baf5365e650793643b08	873	False
db7a28c27e8dd5cb923927f0475b6286	863	False
773560ef35e0d1c616a643f0cad2ef6f	863	False
dd8824679109981a8a6295d617327402	834	False
8d7c858385257deb5a9b405e34b58624	830	False
699e711d7763d324a4d28cf3ba4666cb	828	False
3dd0f3c58bf72a184aa0fc0636be1256	817	False
d133f979aec5548f3e881567bb756244	815	False
ea5f2e358a66162ddd665fe30057ca1c	807	False
7ab4ad5ccc90497b4a0b0b84c90f60ed	797	False
efe5e3d7d9b21bd0b8acadf4367aaafa	796	False
ea34b449b1bf29524e61c708b56b24b8	789	False
88545c05522b4cacc5f5c6f09f47746e	779	False
d82f4bd97b5718fe4943113e2b65a4d8	767	False
8db2764e5d33de04199f206281c67b5a	757	False
0d7df7d5f6b8eaf6ba11712e17cb0d15	754	False
24bb148a6996acdfc1b72de8cbda923e	753	False
e02b0cd876ea970e5ae4d13facb62a98	752	False
ca5660c0be7fcf8b3a7372dbbf5d3fc2	752	False
76dc30385ce1d0f1ebf94eb034f18d1b	747	False
5766d9952eed26674d38c8bc6798c420	744	False
bdb7337cd6c1bda7211abdc1b1321509	737	False
bc1f44444c6f954a63652763ab5a1381	718	False
0f04069572ad3174c757d3577b4ac0d8	718	False
efa38c9665bc6a0cfec6ef68058e68f9	715	False
