Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato	Buhi	Buhi	Buhi	Buhi	Buhi
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales	1.0	1.0	1.0	33.0	65.0	386.0	3773.75	5731.0	7004.5	8341.0	1011.0	1564.5	2056.5	2426.25	2613.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Pseudodendromonadales	284.0	591.0	898.0	1235.5	1573.0	236.0	701.0	884.5	1055.5	1483.0	575.0	788.75	863.0	870.0	882.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia	1975.0	2909.0	3843.0	4430.5	5018.0	2910.0	3095.25	3273.5	3923.75	5525.0	988.0	1768.75	2541.5	3112.5	3288.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Chlamydomonadales	5339.0	6448.5	7558.0	10881.5	14205.0	4741.0	6280.75	9289.0	14230.0	21568.0	1510.0	1828.0	1972.0	2035.0	2110.0
Eukaryota;Obazoa;Opisthokonta;Fungi;;	19.0	42.5	66.0	98.0	130.0	148.0	157.0	160.5	166.5	183.0	384.0	406.5	446.0	512.0	614.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X;Fungi_XX	1.0	1.0	1.0	1.0	1.0	59.0	131.75	169.0	199.75	253.0	509.0	541.25	688.5	878.5	1039.0
Eukaryota;;;;;	669.0	901.5	1134.0	1198.0	1262.0	522.0	1361.25	1923.0	2332.0	2713.0	935.0	1050.5	1219.5	1367.0	1418.0
Eukaryota;TSAR;Stramenopiles;;;	1.0	3.5	6.0	10.5	15.0	1.0	3.25	6.0	9.0	12.0	1.0	1.0	1.0	13.75	52.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Mesochytriales	21.0	37.5	54.0	93.0	132.0	109.0	185.5	310.0	564.25	1030.0	1.0	1.0	1.0	7.25	26.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Pansomonadida	214.0	486.0	758.0	764.5	771.0	31.0	55.75	83.0	104.0	110.0	61.0	65.5	95.0	130.25	152.0
Eukaryota;TSAR;Rhizaria;Cercozoa;;	311.0	376.5	442.0	509.0	576.0	109.0	156.25	176.0	198.25	253.0	108.0	177.0	204.5	210.25	214.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales	215.0	290.0	365.0	1418.0	2471.0	1322.0	1585.25	1792.5	2700.0	5064.0	44.0	93.5	582.0	1081.5	1164.0
;;;;;	32.0	62.5	93.0	148.0	203.0	26.0	185.0	349.0	465.5	482.0	216.0	226.5	251.0	285.0	324.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_5	1.0	1.0	1.0	14.0	27.0	1.0	1.0	7.5	74.5	256.0	1.0	1.0	1.0	2.0	5.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;	62.0	77.5	93.0	138.5	184.0	370.0	406.75	497.5	647.5	862.0	432.0	507.0	559.0	625.75	745.0
Eukaryota;TSAR;Alveolata;Ciliophora;Colpodea;Colpodea_X	7.0	12.0	17.0	24.0	31.0	47.0	57.5	128.5	253.0	424.0	345.0	414.75	465.5	521.25	606.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina	1.0	7.5	14.0	17.5	21.0	8.0	29.0	37.5	42.0	51.0	1.0	7.75	17.5	37.75	76.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X	51.0	96.5	142.0	165.0	188.0	8.0	29.0	40.0	73.25	161.0	1.0	41.5	134.5	235.0	298.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;Tremulida	8.0	11.5	15.0	22.5	30.0	1.0	8.5	21.5	34.0	40.0	12.0	21.0	26.0	36.5	62.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Choanoflagellatea_X	25.0	86.0	147.0	149.5	152.0	1.0	8.5	13.0	20.25	36.0	1.0	1.0	1.0	2.75	8.0
Eukaryota;Archaeplastida;;;;	1.0	4.5	8.0	15.0	22.0	1.0	1.0	4.0	11.5	25.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X	19.0	42.0	65.0	103.0	141.0	151.0	157.0	181.0	218.75	266.0	407.0	495.5	573.0	728.0	1049.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Hyphochytriomyceta;Hyphochytriales	8.0	10.5	13.0	16.5	20.0	7.0	16.75	20.0	23.5	34.0	1.0	1.0	1.0	2.75	8.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina	12.0	94.0	176.0	178.5	181.0	1.0	25.75	261.0	525.25	637.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Ochromonadales	2365.0	3241.5	4118.0	4749.0	5380.0	269.0	1273.25	1801.5	2123.75	2510.0	3294.0	4185.75	5317.5	6419.5	7222.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalozoa_X	106.0	132.0	158.0	308.5	459.0	134.0	140.75	165.0	217.25	308.0	351.0	457.5	493.0	560.5	763.0
Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea;Colpodellida	701.0	835.5	970.0	1488.0	2006.0	454.0	529.0	633.5	1166.75	2528.0	542.0	660.5	2465.5	5090.75	7670.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes	1.0	1.0	1.0	1.0	1.0	24.0	31.5	41.5	49.25	50.0	38.0	39.5	40.5	43.25	50.0
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsida;Perkinsida_X	1155.0	1270.5	1386.0	1690.5	1995.0	211.0	235.75	250.0	431.75	959.0	656.0	841.25	905.0	1126.0	1783.0
Eukaryota;TSAR;;;;	60.0	86.5	113.0	148.0	183.0	8.0	23.0	48.5	84.25	130.0	14.0	20.75	28.0	37.0	49.0
Eukaryota;Obazoa;Opisthokonta;;;	4.0	22.0	40.0	54.5	69.0	15.0	73.5	106.5	180.0	360.0	104.0	119.0	151.5	180.25	184.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae;Pedinomonadales	9705.0	10159.0	10613.0	18419.5	26226.0	64.0	265.0	649.5	2490.25	7060.0	1.0	1.0	16.5	32.5	34.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales	1275.0	2379.5	3484.0	3762.5	4041.0	1361.0	1442.75	1493.5	1640.0	2009.0	326.0	345.5	401.5	456.75	474.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Licmophorales	1.0	1.0	1.0	5.5	10.0	1.0	1.0	1.0	2.75	8.0	89.0	115.25	126.0	136.5	162.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Sphaeropleales	490.0	519.0	548.0	668.5	789.0	1276.0	1566.25	1695.5	1877.75	2327.0	4311.0	5483.25	7681.0	9539.75	9695.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;OLIGO4	1.0	1.0	1.0	3.5	6.0	1.0	1.0	4.0	7.25	8.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;	403.0	1101.0	1799.0	2294.0	2789.0	55.0	107.5	126.5	162.5	266.0	108.0	193.5	223.5	238.25	278.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales	1.0	1.0	1.0	5.0	9.0	2252.0	6302.75	11409.5	16318.25	19775.0	306.0	1426.5	2244.5	3444.5	5711.0
Eukaryota;TSAR;Rhizaria;Rhizaria_X;Rhizaria_XX;Aquavolonida	1.0	2.5	4.0	4.5	5.0	1.0	1.0	1.0	2.5	7.0	1.0	1.0	5.0	9.25	10.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-10	231.0	432.0	633.0	765.5	898.0	342.0	492.0	570.5	676.0	907.0	555.0	1113.0	1338.0	1529.5	1987.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;	1.0	1.0	1.0	7.5	14.0	1.0	10.0	15.5	24.0	42.0	14.0	15.5	25.5	39.5	53.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	7.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;;;	443.0	523.5	604.0	1169.0	1734.0	363.0	458.25	497.0	567.5	758.0	322.0	326.5	332.0	357.0	420.0
