	W	Reject null hypothesis
d682d88319c2b8b20781e5c0285194c4	474	True
f8d5ac880e970186130b859c7e859c37	474	True
27d618a9d0effd56856dfc41766d5b0c	474	True
3192b798b15684673988c2057336c066	474	True
0ed404b93fc737c65e80f7bdd08d0f51	474	True
3482149d0f23236b702eb0609de5903d	474	True
172c3ad88d77a0024456027d57f737b5	474	True
272aa85eb93b398adef257d9db85097b	474	True
af14c29e03501fef7f1d9a140248b1ca	474	True
b5fa78358a9ca816c1a77b5669d65c3c	474	True
7f3da5e39189291f0c01c7e7b1d0e920	474	True
b59acfccdb60553eea62f0f12b6fd55d	474	True
aa0efa295225de2a67a794631c110398	474	True
f0b7bd248d21cddaf80b7205ba163559	474	True
4dbb0b0798fe0545652d4368e2756cbc	474	True
237479d8f6ffee7de7bbff32a4fe53e2	474	True
19005014c49dad284af18fd074e9bb44	474	True
767a50a643b6dea124055a01e849b892	474	True
a1461985ff22cafb1f2fa48ab013cad8	474	True
4b491d9f5edf45978d6b2936f76b9280	474	True
314c32076170926ab1ed2ffad2c2e94b	474	True
66bd1b8dffeb784a87f88537f9dbf49f	474	True
a3c9d3ee5f76eaaeb34cb161a273bb2c	474	True
b198bb649a5b69698052693a03fe60b1	474	True
a648392b24864acbe58fb2281f2c00d6	474	True
9fa1e6b2d4c417f8f857de0a2a16a287	474	True
15a6f47eafd9ea44e5fe2dbd0d2e8033	474	True
f83cf9985e13b365c88110f16599e78e	474	True
d156a218c3f9f958544af03566d7b51f	474	True
3e67beea2e4c9c6073867c4cf52be2a8	474	True
2435b630b199309886e623f508870a2e	474	True
c70fe992a82c0ecc707c4d1053893056	474	True
2d14ec3d240c5038ceb32c5a5ce54622	474	True
cb3709a40d2dbfa1ce27db9331615bde	474	True
d47e555177c8a26550b86414db011582	474	True
9a1533b1e85b9526349d9ff18e6aa2e0	474	True
30f00bfb5e0ddf018b038ce2f1e3d4ac	474	True
1b5c48c560a2dfe2d977390414f4b6dc	474	True
6cc3d506fa9e93fec41028f16036c5d0	474	True
6c4dad9976e490bd0c034db857b49e23	474	True
a948cd62fc41e42052e2dddb3cb0571e	474	True
ad1697467c700376127126c58bfb1b22	474	True
8d27b709bcc29ca19d5cdb89a66bf9b4	474	True
c745ee8db3d030dd1f5da838f5d18b3c	474	True
09eed6f68c62c4eeb4f52b26fc9679d9	474	True
ef4839bec6f090b8f61246cea5e99216	474	True
2e5087ce8a94de70594eb11bc2314523	474	True
be9a230f191ce2fe48e7e14d20df1620	474	True
82105af801da54aceb050578b1c38440	474	True
8157827ec3e9ddbb59553dc2eae87d32	474	True
207b3fa179cbe8802b23d984bdecaa9d	474	True
e895364b39cd21876ac82472357e163d	474	True
221100d74ea92dea78ab1624910bdcd6	474	True
f9a45c2079769cc290ad68491fe4a901	474	True
206892cae1e8140f4e08142d170c855c	474	True
56610e0a982b889a137809446bc7a3b0	474	True
f547728bacccbbafb89a902595316125	474	True
4e89489ff1395b14e74d9bf123f717b6	474	True
8bc841b8a6249acae7254c8ad2e05dd1	473	True
ff8c5b8834b12978e4ee05a846f79b54	473	True
18c42672f4350fcc24574791fcdd335e	473	True
93043368ec3e320319f13dd1ee5f0757	473	True
0f897e4d31d8daf9174091d8073b1658	473	True
03c3ba009ba2c84f4f4609479b1bf5e2	473	True
269538e2c855f6d6ff3756c80c2f3d13	473	True
bc700ac307ab8bce6cda91fe8b0244a2	473	True
65607dd41fbb017b7afffbd0e53b6bba	473	True
2bc447888bbd1a909e457d40f0fb4c79	473	True
033ebc61fad62bbc908cb8f5cd95c2b8	473	True
6caad6a4321a90064a03312631f1c55d	473	True
2ff045bfc17841764b34ef14095ba1a7	473	True
13eb3202d55b52e176c8d5d74d625226	473	True
697f263bebf20c33e8faad2aee4f8309	473	True
539b0ecc26018276c39e0a00afc2d456	473	True
e539a6cdb2528c81f686961f49b6c01f	473	True
2bb2dc2286a4e33cc43e7d6a0492de84	473	True
dd266c45d0b07c783fcde88b30d1a960	473	True
070b9be220fcfa8cb073a2ae0dcba0e6	473	True
da3f5dbb6ef131f4d907b90f9ff4dc91	473	True
60aaa6459767595acdb6a07893934677	473	True
cf5b474d75945831bf9d58564416ace3	473	True
1a03ea678cc135e00eddfba8e90cc322	473	True
39687d40d206b030db3d02ccabd44331	473	True
4102f7a708428b29668b7c82f5cf1c21	473	True
7799161437b7675689d34023fcc3400c	473	True
87c59cd82503ab0c41d231175fe9c75d	473	True
935b3ad7c54b8fa22fd7df8c298ee35c	473	True
a2295422f1d878c03edb61057fe4b631	473	True
c8f301fa730ab9e463887751543bf1fe	473	True
a555aab4dd112ed832faac5e7f8569bf	473	True
d4a0f58f577fe74a3795eba3c5e68b0a	473	True
9192678b45f97355e1489bb5e7116b91	473	True
83df765edeb3e975ae9c657919bb46c9	473	True
1f19da524020028bfd1bb450b5307fe5	473	True
0647aea1d4daa25baa117a1bb6225d9d	472	True
9648dc81d891746e302a7b5a4543aba1	472	True
27d197c48bcc9131147f89a85536ff70	472	True
a8a47ead6b380c1ec1c0c6c3836b0ecc	472	True
2e4266969d0926398d60c2d61556b996	472	True
b3f0640555a41422728a792d3af3510d	472	True
556e48e5a71779c0e28276d11c209cda	472	True
f239c2b77f7cc26fc74deb19b91655bf	472	True
7ff8fa5997f6dd9555eec557b86ff372	472	True
3fbbb2d91b5cbb81dd037b74d4e3c7cc	472	True
6c09a77ddac888e56e792596a600bf67	472	True
e3711edf1bafeb8162b3136c2eb8047c	472	True
88ad5c929c42d5dc670efafede9e0064	472	True
ece68b65a5c9d63057d37d704ede8fec	472	True
7e3d894aa85aed5a1e49afb8fb8341e8	472	True
cd9a9e9bbbc86e52655e3edd5db08216	472	True
80a1e1272a08327beee6ba8ab14247d1	472	True
bfa156cd8c6a584a658a1140726df459	472	True
543b6a676a3675d77276c91ca9c39e7a	472	True
48580c20a0ebc8d8b3c1179186c732c3	472	True
3a200c28582cc8db6824e7b8e7ec9b99	472	True
d9423d8ff376d06f059625a181c11103	472	True
d8b3dc4fc27ddef4ceecabc791726c91	472	True
96ea15a7fd51e01185143f0e35204435	472	True
3da2e681ff7c60f6fd092cb48c8ba080	472	True
0a9ed6daf3f2c5034d8259120e08ce16	472	True
03309c34e5014a02a1f210faf0ed7b72	472	True
190ec6f2cdcc525914b8ec43748a398a	472	True
fcfb97b0e4f27c3f3e9f4de0a920445d	472	True
242e0cb497a9dc056be616ff31352318	472	True
f47ed7eede113661d5d0eab6daae8a9e	472	True
ff6d4143c9fb66eaff1c2f74e9dbcabd	472	True
098a791453a993887e9ae61cca74aeea	472	True
d4c89511d41a58ec843311dc710b27ce	472	True
8d65457dc343dfe0d13d75bc1dd25ae3	472	True
1cd95a7b7bb88770520186aef13559cd	472	True
4043160842bb8feb5d5004efe0b8804c	471	True
52a53d20e42bfe23f383fa45bec05204	471	True
681984cf11ff1059f1d060babe86544f	471	True
33575a23771d56624897e6dd750811d7	471	True
e8bbbbb31f17e0f0c5a6aface8de8556	471	True
4d93eaa11bc6b7d21250128cb777d3ca	471	True
3abf2e3caba44f9151d7997e938bb3bb	471	True
385822c126fa370bc2a6a7a5a3aa2421	471	True
4323a14d00a0a299057367457239927f	471	True
d40945c88914ac09a686b9d0351617dd	471	True
bf4ca9417148d0e38a2d0b3cbaa8aaea	471	True
38590b8108210ea84c1ef4b673741130	471	True
6bcb2f21bedbb6168e8c361392ba2974	471	True
cde936a54bbf99007707e42988468710	471	True
ab8a77aed934df77496a3d59eaddeec6	471	True
e50d471d05faaa528eabeb8afe9a7027	471	True
c88460d2849ff2f0fc49f8462c1b23b1	471	True
0c6173db3b5dd051c95c45668f4b3a66	471	True
bb6d28ac101ddda8c1490cea0cab208b	471	True
31cc2c5b9f431507e45a30c447043417	471	True
d9cd00cc71463cc5a2e876de56bf9f66	471	True
d417601428d21905f24403140a653514	471	True
f750abfb976ecb5240cfd8813f65e9ca	471	True
3736e202265260595ad7c650aedb08a8	471	True
f4946a8ffb9574398a0ecd89260123dc	471	True
d6a12b74b27d86150f0012ccb9dc6671	471	True
f27d6805a6d2890a52f62816b30f8345	471	True
e496754056177987713f476c5e317e29	471	True
35a60b6837d5f280c6384aef24472a9e	470	True
7c7158651b5b60383f804fcc7018c616	470	True
a123f60bd19c1787aa7439b1ee4e4401	470	True
39d21d7e4c6d8cfa12b56fc8654d43c1	470	True
3d6b82198a2824a74960d8fa2e3b3593	470	True
5fb9182b5e5a20e491ec69d6ee4e5a4e	470	True
94c9401991072cb6faf438bceeb8d134	470	True
8962edbdc2cf96a4ace6e3afad584de7	470	True
f482d7614f259325e13809132c2d667b	470	True
dd3788b58a4de229e15c39071ea3e42e	470	True
c6cd3c61b080507f2eb8f6c0c74704b9	470	True
3b5711ae5fb126ca3c3e5fda6b58452a	470	True
a7dd7b9248ca7ec167c9350295e654f2	470	True
c89baf2731ff915ab9d8dbb169e7d2a7	470	True
462a57192bc1abb4764add4a892bd470	470	True
5e6dfc90d570d5e8450b21cb42ba35a0	470	True
deccb3a6c813975689f53d228e17b5ab	470	True
0ccd197c63089743cf1e666aef04748f	470	True
26d31e9e36fbc96e369294db30fb79b8	470	True
678a5daefa72c03c1d42e1161903f0ae	470	True
15ba1bd92c7b44d360e775c63ccee10e	470	True
8217b522f9404bbc8ad85a4caa2d6d22	470	True
113fa06a54fcb99e4c675d46836e98b0	470	True
58e23cf7131aeee5ab6a86a7518823ba	470	True
c1c0a4767ff74ce6373404ecdfb1041b	470	True
3973f4f23a9b58ce9857845cf8d71ff4	470	True
61315f9678c1e64dd8eaf15fbe440ec0	470	True
38516d71f507d158fad7f7dc8c4d5ddc	470	True
decaff473b132848f74383a335409f7f	470	True
fe8ad2574a79c0ec43c093a2d3b3eafd	470	True
21e193cca637b588d622399c0002927a	470	True
3b98352e76dc3318cb6611496c85d600	470	True
89b9d7799f5fc89c121ead40bbfcf136	470	True
2610c72d1036d22e28f897f73b775724	470	True
6c2cd01725e41e262866560877a3bcd2	470	True
3bc6cca13eae8ab680e9a4903cee2e04	470	True
39d28dbc12683377e73d8358638a049a	470	True
87e337c8c1454737e813dd4b979bed7c	470	True
ce0108c0a86c994d2cd6db587785f4ba	470	True
a9cb9eda1bb39e06181caef99b7e7058	470	True
f8f312b739f0dd81416fce22dc36e792	469	True
afce0dc3155efbd258534f598465cc8e	469	True
3be83f010fe8b9b6cdf8f8500b913c1b	469	True
64214cb2da3e954432ef3769c18d4455	469	True
9b010bccaea652e3fcc27170715207e9	469	True
194071636f6e2a2787db3ee83d803443	469	True
e402ceebc7c178fa28504d19315dbe4d	469	True
d312a8321353d6a5827ea54f165bc1f1	469	True
6427acfb9e3608058bcdac1a439c305c	469	True
caea77459957ab1b57a664e8cbc108ee	469	True
79767f43a2df9284ab95844b89b738a3	469	True
6f7390dd9d11b1ecf8cc9f1c2325a1ca	469	True
5a1186cdc70615223c56209ba0cc8a57	469	True
3b408f8509c9881ec9b5b03d89f3ab73	469	True
d542b63308ba78b82d3535f0936b6b4e	469	True
