	W	Reject null hypothesis
Eukaryota;TSAR;Stramenopiles;Gyrista;Phaeothamniophyceae	4	False
Eukaryota;Amoebozoa;Evosea;Evosea_X;Variosea	4	False
Eukaryota;Amoebozoa;;;	4	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa	4	False
Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia	4	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae	1	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae	1	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas	1	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca	1	False
Eukaryota;Obazoa;Opisthokonta;Pluriformea;Pluriformea_X	1	False
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsea_X	1	False
Eukaryota;Archaeplastida;Rhodelphidia;Rhodelphidia_X;Rhodelphea	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;	0	False
Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Echinamoebida	0	False
Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X;Collodictyonidae_XX	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Aphelidiomycota	0	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Raphidophyceae	0	False
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;	0	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida	0	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Dermocystida	0	False
Eukaryota;TSAR;Rhizaria;;	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa	0	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;	0	False
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_XX	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae	0	False
Eukaryota;Archaeplastida;Glaucophyta;Glaucophyta_X;Glaucocystophyceae	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea_1	0	False
Eukaryota;TSAR;Alveolata;Alveolata_X;Alveolata_XX	0	False
Eukaryota;Excavata;Discoba;Discoba_X;Discoba_XX	0	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata	0	False
Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl	0	False
Eukaryota;Obazoa;Opisthokonta;Filasterea;Filasterea_X	0	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Nephroselmidophyceae	0	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Klebsormidiophyceae	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Nassophorea	0	False
Eukaryota;TSAR;Alveolata;Colponemidia;Colponemidia_X	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Cercozoa_X	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Blastocladiomycota	0	False
Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia	0	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Porifera	0	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae	0	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae	0	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea	0	False
Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Hyphochytriomyceta	0	False
