Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Agri	Agri	Agri	Agri	Agri	Center	Center	Center	Center	Center	Tribu	Tribu	Tribu	Tribu	Tribu
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-E;	1.0	1.0	1.0	1.0	1.0	1.0	6.75	12.5	18.25	24.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Apicomplexa;Colpodellidea;Colpodellida;Alphamonaceae;Aphamonas	495.0	495.0	495.0	495.0	495.0	207.0	313.0	419.0	525.0	631.0	1813.0	1813.0	1813.0	1813.0	1813.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Spizellomycetales-and-Rhizophlyctidales	1.0	1.0	1.0	1.0	1.0	1.0	7.25	13.5	19.75	26.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;;;;;	347.0	347.0	347.0	347.0	347.0	243.0	269.0	295.0	321.0	347.0	153.0	153.0	153.0	153.0	153.0
Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystidae;Raphidiophrys	160.0	160.0	160.0	160.0	160.0	9.0	15.75	22.5	29.25	36.0	102.0	102.0	102.0	102.0	102.0
Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3;Stramenopiles_X-Group-3_X;Stramenopiles_X-Group-3_XX;Stramenopiles_X-Group-3_XXX	1.0	1.0	1.0	1.0	1.0	1.0	7.5	14.0	20.5	27.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;;;;;	83.0	83.0	83.0	83.0	83.0	24.0	67.5	111.0	154.5	198.0	58.0	58.0	58.0	58.0	58.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlamydomonadales_XX	462.0	462.0	462.0	462.0	462.0	280.0	430.75	581.5	732.25	883.0	548.0	548.0	548.0	548.0	548.0
Eukaryota;Archaeplastida;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas	9472.0	9472.0	9472.0	9472.0	9472.0	290.0	2756.0	5222.0	7688.0	10154.0	23894.0	23894.0	23894.0	23894.0	23894.0
Eukaryota;;;;;;	2430.0	2430.0	2430.0	2430.0	2430.0	872.0	1103.5	1335.0	1566.5	1798.0	1550.0	1550.0	1550.0	1550.0	1550.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C1;Salpingoecidae_Group_C1_X	741.0	741.0	741.0	741.0	741.0	9.0	124.5	240.0	355.5	471.0	352.0	352.0	352.0	352.0	352.0
Eukaryota;Opisthokonta;Fungi;;;;	103.0	103.0	103.0	103.0	103.0	39.0	468.0	897.0	1326.0	1755.0	136.0	136.0	136.0	136.0	136.0
Eukaryota;Archaeplastida;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidales_X;Nephroselmis	1.0	1.0	1.0	1.0	1.0	1.0	348.25	695.5	1042.75	1390.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Watanabea-Clade;Watanabea-Clade_X;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Neochlorosarcina	405.0	405.0	405.0	405.0	405.0	127.0	191.25	255.5	319.75	384.0	265.0	265.0	265.0	265.0	265.0
Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Cryptomonas	2287.0	2287.0	2287.0	2287.0	2287.0	44.0	508.25	972.5	1436.75	1901.0	110.0	110.0	110.0	110.0	110.0
Eukaryota;Alveolata;Perkinsea;Perkinsida;Perkinsida_X;Perkinsida_XX;Perkinsida_XXX	1233.0	1233.0	1233.0	1233.0	1233.0	230.0	326.0	422.0	518.0	614.0	819.0	819.0	819.0	819.0	819.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Halteriidae;Halteria	774.0	774.0	774.0	774.0	774.0	1.0	39.25	77.5	115.75	154.0	373.0	373.0	373.0	373.0	373.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Rhyzophidiales_X	64.0	64.0	64.0	64.0	64.0	6.0	49.75	93.5	137.25	181.0	50.0	50.0	50.0	50.0	50.0
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia	200.0	200.0	200.0	200.0	200.0	58.0	287.5	517.0	746.5	976.0	348.0	348.0	348.0	348.0	348.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycotina_X;Chytridiomycotina_XX	1.0	1.0	1.0	1.0	1.0	1.0	53.75	106.5	159.25	212.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Scenedesmus	85.0	85.0	85.0	85.0	85.0	162.0	186.5	211.0	235.5	260.0	108.0	108.0	108.0	108.0	108.0
Eukaryota;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-10;Novel-clade-10_X;Novel-clade-10_XX	904.0	904.0	904.0	904.0	904.0	231.0	323.0	415.0	507.0	599.0	631.0	631.0	631.0	631.0	631.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;	687.0	687.0	687.0	687.0	687.0	535.0	688.5	842.0	995.5	1149.0	794.0	794.0	794.0	794.0	794.0
Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Centroheliozoa_XX;Centroheliozoa_XXX;Centroheliozoa_XXXX	33.0	33.0	33.0	33.0	33.0	1.0	3.25	5.5	7.75	10.0	23.0	23.0	23.0	23.0	23.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;Nerada	106.0	106.0	106.0	106.0	106.0	20.0	42.0	64.0	86.0	108.0	105.0	105.0	105.0	105.0	105.0
