index,Eukaryota,,Eukaryota:plas,Eukaryota:nucl,location,site
Baao_Agri_EUK,59616.0,92.0,6.0,37.0,Baao,Agri
Baao_Center_EUK,55867.0,31.0,0.0,0.0,Baao,Center
Baao_Tribu_EUK,66922.0,202.0,9.0,2.0,Baao,Tribu
Bato_Center_EUK,69074.0,237.0,0.0,84.0,Bato,Center
Bato_Resid_EUK,74543.0,25.0,0.0,54.0,Bato,Resid
Bato_Tilap_EUK,65025.0,481.0,7.0,75.0,Bato,Tilap
Bato_Tribu_EUK,68793.0,459.0,0.0,74.0,Bato,Tribu
Buhi_Center_EUK,61863.0,229.0,0.0,0.0,Buhi,Center
Buhi_Resid_EUK,62243.0,271.0,0.0,2.0,Buhi,Resid
Buhi_Tilap_EUK,55125.0,323.0,0.0,0.0,Buhi,Tipal
Buhi_Tribu_EUK,56411.0,215.0,0.0,12.0,Buhi,Tribu
