index,Eukaryota;TSAR,Eukaryota;Archaeplastida,Eukaryota;Obazoa,Eukaryota;,Eukaryota;Cryptista,;,Eukaryota;Haptista,Eukaryota;CRuMs,Eukaryota:plas;Archaeplastida:plas,Eukaryota;Amoebozoa,Eukaryota:nucl;Cryptista:nucl,Eukaryota;Excavata,location,site
Baao_Agri_EUK,31830.0,20403.0,3349.0,1133.0,2470.0,92.0,329.0,98.0,6.0,4.0,37.0,0.0,Baao,Agri
Baao_Center_EUK,23643.0,30035.0,1186.0,668.0,227.0,31.0,92.0,16.0,0.0,0.0,0.0,0.0,Baao,Center
Baao_Tribu_EUK,27554.0,35864.0,1652.0,1261.0,371.0,202.0,189.0,31.0,9.0,0.0,2.0,0.0,Baao,Tribu
Bato_Center_EUK,42352.0,12367.0,10484.0,1640.0,2181.0,237.0,17.0,23.0,0.0,0.0,84.0,10.0,Bato,Center
Bato_Resid_EUK,27307.0,34637.0,6816.0,521.0,5219.0,25.0,11.0,32.0,0.0,0.0,54.0,0.0,Bato,Resid
Bato_Tilap_EUK,43887.0,10149.0,6891.0,2204.0,1704.0,481.0,42.0,142.0,7.0,6.0,75.0,0.0,Bato,Tilap
Bato_Tribu_EUK,36679.0,17818.0,9545.0,2712.0,1706.0,459.0,54.0,279.0,0.0,0.0,74.0,0.0,Bato,Tribu
Buhi_Center_EUK,37538.0,13686.0,8826.0,1088.0,380.0,229.0,94.0,236.0,0.0,12.0,0.0,3.0,Buhi,Center
Buhi_Resid_EUK,41503.0,9521.0,8031.0,1417.0,1447.0,271.0,86.0,238.0,0.0,0.0,2.0,0.0,Buhi,Resid
Buhi_Tilap_EUK,30155.0,13263.0,9994.0,1349.0,193.0,323.0,55.0,100.0,0.0,16.0,0.0,0.0,Buhi,Tipal
Buhi_Tribu_EUK,32741.0,7055.0,13856.0,934.0,1580.0,215.0,99.0,146.0,0.0,0.0,12.0,0.0,Buhi,Tribu
