index,Eukaryota;TSAR;Stramenopiles;Gyrista,Eukaryota;TSAR;Stramenopiles;Bigyra,Eukaryota;TSAR;Alveolata;Ciliophora,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X,Eukaryota;Obazoa;Opisthokonta;Fungi,Eukaryota;;;,Eukaryota;TSAR;Stramenopiles;,Eukaryota;TSAR;Rhizaria;Cercozoa,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X,;;;,Eukaryota;TSAR;Alveolata;Dinoflagellata,Eukaryota;Obazoa;Opisthokonta;Choanoflagellata,Eukaryota;Archaeplastida;;,Eukaryota;TSAR;Alveolata;Chrompodellids,Eukaryota;TSAR;Alveolata;Perkinsea,Eukaryota;TSAR;;,Eukaryota;Obazoa;Opisthokonta;,Eukaryota;TSAR;Rhizaria;Rhizaria_X,Eukaryota;TSAR;Alveolata;,Eukaryota;Obazoa;Opisthokonta;Metazoa,Eukaryota;TSAR;Stramenopiles;Stramenopiles_X,Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X,Eukaryota;Obazoa;Opisthokonta;Ichthyosporea,Eukaryota;TSAR;Alveolata;Apicomplexa,Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X,Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas,Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X,Eukaryota;TSAR;Alveolata;Colponemidia,Eukaryota;Amoebozoa;Discosea;Discosea_X,Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl,Eukaryota;Excavata;Discoba;Discoba_X,Eukaryota;TSAR;Alveolata;Alveolata_X,Eukaryota;Archaeplastida;Glaucophyta;Glaucophyta_X,Eukaryota;Amoebozoa;Evosea;Evosea_X,Eukaryota;Archaeplastida;Rhodelphidia;Rhodelphidia_X,Eukaryota;Obazoa;Opisthokonta;Filasterea,Eukaryota;Amoebozoa;;,Eukaryota;TSAR;Rhizaria;,Eukaryota;Obazoa;Opisthokonta;Pluriformea,location,site
Baao_Agri_EUK,15098.0,1395.0,7451.0,20382.0,651.0,1133.0,14.0,2425.0,2470.0,92.0,477.0,1379.0,21.0,969.0,2056.0,182.0,39.0,3.0,1733.0,1271.0,0.0,329.0,0.0,19.0,0.0,98.0,6.0,0.0,8.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,Baao,Agri
Baao_Center_EUK,13317.0,407.0,3354.0,30035.0,386.0,668.0,0.0,1049.0,227.0,31.0,2988.0,695.0,0.0,700.0,1157.0,59.0,68.0,0.0,603.0,37.0,0.0,92.0,0.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baao,Center
Baao_Tribu_EUK,12211.0,1739.0,5058.0,35851.0,625.0,1261.0,5.0,2348.0,371.0,202.0,2220.0,891.0,7.0,2005.0,1393.0,112.0,3.0,4.0,442.0,121.0,0.0,189.0,3.0,13.0,0.0,31.0,9.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,Baao,Tribu
Bato_Center_EUK,10516.0,1063.0,8580.0,12076.0,4408.0,1640.0,11.0,1024.0,2181.0,237.0,19909.0,33.0,6.0,453.0,243.0,129.0,92.0,0.0,362.0,5944.0,35.0,17.0,7.0,0.0,280.0,23.0,0.0,0.0,9.0,0.0,84.0,10.0,14.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,Bato,Center
Bato_Resid_EUK,7827.0,419.0,12105.0,34628.0,1871.0,521.0,7.0,804.0,5219.0,25.0,2571.0,14.0,0.0,2527.0,210.0,7.0,14.0,6.0,757.0,4754.0,6.0,11.0,163.0,14.0,0.0,32.0,0.0,0.0,40.0,0.0,54.0,0.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,Bato,Resid
Bato_Tilap_EUK,15310.0,1312.0,7861.0,9951.0,4426.0,2204.0,3.0,1719.0,1704.0,481.0,15452.0,133.0,0.0,553.0,958.0,68.0,119.0,0.0,489.0,2213.0,62.0,42.0,0.0,0.0,194.0,142.0,7.0,0.0,33.0,0.0,75.0,0.0,62.0,0.0,6.0,4.0,0.0,0.0,5.0,0.0,Bato,Tilap
Bato_Tribu_EUK,18585.0,1722.0,4997.0,17637.0,8050.0,2712.0,0.0,1643.0,1706.0,459.0,7768.0,355.0,24.0,712.0,255.0,27.0,359.0,0.0,503.0,781.0,370.0,54.0,0.0,0.0,157.0,279.0,0.0,0.0,97.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bato,Tribu
Buhi_Center_EUK,20669.0,2047.0,5133.0,12967.0,7674.0,1088.0,0.0,4205.0,380.0,229.0,2349.0,624.0,0.0,699.0,1782.0,48.0,178.0,9.0,419.0,341.0,155.0,94.0,0.0,6.0,611.0,236.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,108.0,9.0,0.0,17.0,0.0,Buhi,Center
Buhi_Resid_EUK,19550.0,1941.0,7720.0,8852.0,6662.0,1417.0,51.0,3124.0,1447.0,271.0,3500.0,505.0,0.0,4230.0,902.0,13.0,123.0,8.0,321.0,730.0,49.0,86.0,0.0,52.0,570.0,238.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,99.0,11.0,0.0,42.0,0.0,Buhi,Resid
Buhi_Tilap_EUK,14607.0,1966.0,2384.0,12794.0,6005.0,1349.0,0.0,3326.0,193.0,323.0,6217.0,440.0,0.0,541.0,655.0,22.0,183.0,0.0,335.0,3366.0,91.0,55.0,0.0,8.0,412.0,100.0,0.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,Buhi,Tipal
Buhi_Tribu_EUK,12276.0,1555.0,6431.0,6617.0,6517.0,934.0,0.0,2031.0,1580.0,215.0,1422.0,432.0,0.0,7669.0,906.0,32.0,103.0,0.0,327.0,6790.0,79.0,99.0,0.0,13.0,323.0,146.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,115.0,14.0,0.0,0.0,0.0,Buhi,Tribu
