index,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae,Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae,Eukaryota;Obazoa;Opisthokonta;Fungi;,Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X,Eukaryota;;;;,Eukaryota;TSAR;Stramenopiles;;,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea,Eukaryota;TSAR;Rhizaria;Cercozoa;,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae,;;;;,Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea,Eukaryota;TSAR;Alveolata;Ciliophora;Colpodea,Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12,Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea,Eukaryota;Archaeplastida;;;,Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes,Eukaryota;TSAR;Stramenopiles;Gyrista;Hyphochytriomyceta,Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa,Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista,Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsida,Eukaryota;TSAR;;;,Eukaryota;Obazoa;Opisthokonta;;,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae,Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea,Eukaryota;TSAR;Rhizaria;Rhizaria_X;Rhizaria_XX,Eukaryota;TSAR;Alveolata;;,Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda,Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3,Eukaryota;Obazoa;Opisthokonta;Metazoa;Gastrotricha,Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida,Eukaryota;Obazoa;Opisthokonta;Metazoa;Rotifera,Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae,Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea,Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae,Eukaryota;Obazoa;Opisthokonta;Fungi;Rozellomycota,Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Centroplasthelida_XX,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea,Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae,Eukaryota;Obazoa;Opisthokonta;Fungi;Blastocladiomycota,Eukaryota;Obazoa;Opisthokonta;Metazoa;,Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_XX,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa,Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae,Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida,Eukaryota;TSAR;Stramenopiles;Gyrista;,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea,Eukaryota;TSAR;Alveolata;Ciliophora;,Eukaryota;TSAR;Stramenopiles;Gyrista;Raphidophyceae,Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales,Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae,Eukaryota;Obazoa;Opisthokonta;Fungi;Aphelidiomycota,Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota,Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X;Collodictyonidae_XX,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas,Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea,Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea,Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae,Eukaryota;Obazoa;Opisthokonta;Metazoa;Porifera,Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia,Eukaryota;TSAR;Stramenopiles;Gyrista;Phaeothamniophyceae,Eukaryota;TSAR;Rhizaria;Cercozoa;Cercozoa_X,Eukaryota;TSAR;Alveolata;Colponemidia;Colponemidia_X,Eukaryota;TSAR;Alveolata;Ciliophora;Nassophorea,Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Klebsormidiophyceae,Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Nephroselmidophyceae,Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia,Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl,Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata,Eukaryota;Excavata;Discoba;Discoba_X;Discoba_XX,Eukaryota;TSAR;Alveolata;Alveolata_X;Alveolata_XX,Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea_1,Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca,Eukaryota;Archaeplastida;Glaucophyta;Glaucophyta_X;Glaucocystophyceae,Eukaryota;Amoebozoa;Evosea;Evosea_X;Variosea,Eukaryota;Archaeplastida;Rhodelphidia;Rhodelphidia_X;Rhodelphea,Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsea_X,Eukaryota;Obazoa;Opisthokonta;Filasterea;Filasterea_X,Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Echinamoebida,Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa,Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Dermocystida,Eukaryota;Amoebozoa;;;,Eukaryota;TSAR;Rhizaria;;,Eukaryota;Obazoa;Opisthokonta;Pluriformea;Pluriformea_X,location,site
Baao_Agri_EUK,0.0,937.0,5389.0,5966.0,65.0,0.0,1133.0,14.0,452.0,1045.0,441.0,2470.0,92.0,400.0,30.0,20.0,477.0,917.0,1379.0,21.0,140.0,19.0,13848.0,458.0,969.0,0.0,1994.0,182.0,39.0,9704.0,3654.0,225.0,82.0,3.0,1733.0,579.0,792.0,0.0,14.0,289.0,458.0,0.0,912.0,241.0,22.0,138.0,79.0,40.0,0.0,0.0,224.0,8.0,5.0,0.0,146.0,0.0,154.0,0.0,35.0,19.0,274.0,0.0,71.0,0.0,7.0,20.0,98.0,6.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,Baao,Agri
Baao_Center_EUK,0.0,302.0,2187.0,15067.0,18.0,0.0,668.0,0.0,131.0,477.0,310.0,227.0,31.0,609.0,6.0,13.0,2988.0,237.0,695.0,0.0,18.0,12.0,12754.0,105.0,700.0,0.0,1154.0,59.0,68.0,10612.0,4150.0,57.0,0.0,0.0,603.0,182.0,0.0,0.0,0.0,83.0,26.0,0.0,206.0,133.0,25.0,102.0,206.0,9.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,100.0,0.0,74.0,0.0,10.0,5.0,16.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baao,Center
Baao_Tribu_EUK,64.0,1582.0,4326.0,8068.0,129.0,0.0,1261.0,5.0,322.0,1102.0,575.0,371.0,202.0,349.0,16.0,6.0,2220.0,661.0,891.0,7.0,64.0,7.0,10983.0,157.0,2005.0,0.0,1385.0,112.0,3.0,26225.0,1321.0,362.0,75.0,4.0,442.0,174.0,7.0,0.0,45.0,167.0,24.0,0.0,214.0,201.0,7.0,176.0,147.0,22.0,11.0,3.0,278.0,7.0,6.0,0.0,23.0,3.0,14.0,3.0,54.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,9.0,94.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,14.0,20.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Baao,Tribu
Bato_Center_EUK,6558.0,867.0,5643.0,8142.0,159.0,181.0,1640.0,11.0,2558.0,175.0,171.0,2181.0,237.0,1138.0,60.0,49.0,19909.0,647.0,33.0,6.0,202.0,19.0,1746.0,142.0,453.0,54.0,243.0,129.0,92.0,331.0,1779.0,966.0,318.0,0.0,362.0,169.0,2420.0,26.0,0.0,17.0,3276.0,1239.0,432.0,329.0,0.0,16.0,7.0,0.0,0.0,0.0,82.0,0.0,0.0,9.0,3.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,36.0,0.0,1424.0,0.0,23.0,0.0,13.0,8.0,562.0,0.0,16.0,0.0,0.0,0.0,7.0,9.0,0.0,264.0,30.0,1389.0,0.0,84.0,248.0,10.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Bato,Center
Bato_Resid_EUK,385.0,248.0,4177.0,23317.0,182.0,58.0,521.0,7.0,1467.0,165.0,252.0,5219.0,25.0,5027.0,423.0,7.0,2571.0,356.0,14.0,0.0,150.0,33.0,5806.0,133.0,2527.0,38.0,210.0,7.0,14.0,7059.0,1681.0,78.0,1389.0,6.0,757.0,441.0,6.0,0.0,98.0,0.0,4505.0,470.0,490.0,304.0,4.0,10.0,102.0,11.0,0.0,3.0,70.0,41.0,141.0,6.0,0.0,27.0,0.0,157.0,14.0,14.0,127.0,13.0,114.0,0.0,12.0,2.0,32.0,0.0,24.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2081.0,0.0,54.0,4.0,0.0,7.0,24.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Bato,Resid
Bato_Tilap_EUK,4915.0,956.0,5338.0,6417.0,160.0,155.0,2204.0,3.0,2490.0,389.0,179.0,1704.0,481.0,1593.0,195.0,61.0,15452.0,999.0,133.0,0.0,265.0,6.0,7490.0,307.0,553.0,49.0,958.0,68.0,119.0,966.0,1861.0,577.0,324.0,0.0,489.0,212.0,627.0,29.0,2.0,42.0,1524.0,155.0,280.0,456.0,3.0,87.0,48.0,0.0,4.0,26.0,321.0,77.0,9.0,33.0,0.0,137.0,0.0,0.0,42.0,0.0,0.0,13.0,116.0,0.0,1401.0,21.0,142.0,7.0,18.0,8.0,1022.0,0.0,18.0,0.0,0.0,0.0,4.0,33.0,0.0,176.0,9.0,427.0,0.0,75.0,29.0,0.0,62.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,Bato,Tilap
Bato_Tribu_EUK,8360.0,1513.0,4220.0,14134.0,147.0,252.0,2712.0,0.0,4552.0,581.0,108.0,1706.0,459.0,110.0,46.0,44.0,7768.0,611.0,355.0,24.0,158.0,19.0,4489.0,186.0,712.0,23.0,255.0,27.0,359.0,63.0,2366.0,1816.0,347.0,0.0,503.0,125.0,147.0,25.0,4.0,54.0,622.0,106.0,292.0,270.0,9.0,23.0,30.0,0.0,7.0,13.0,34.0,0.0,0.0,345.0,0.0,316.0,0.0,0.0,42.0,0.0,0.0,0.0,28.0,0.0,2886.0,132.0,279.0,0.0,5.0,18.0,3346.0,0.0,5.0,0.0,0.0,0.0,0.0,97.0,0.0,152.0,0.0,782.0,0.0,74.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bato,Tribu
Buhi_Center_EUK,2612.0,1137.0,2325.0,11727.0,613.0,1038.0,1088.0,0.0,3176.0,1020.0,213.0,380.0,229.0,259.0,437.0,26.0,2349.0,2013.0,624.0,0.0,620.0,7.0,10924.0,492.0,699.0,418.0,1782.0,48.0,178.0,33.0,815.0,2102.0,1711.0,9.0,419.0,199.0,10.0,155.0,0.0,94.0,127.0,24.0,392.0,4047.0,0.0,19.0,95.0,0.0,0.0,59.0,102.0,9.0,3.0,0.0,0.0,655.0,0.0,0.0,75.0,6.0,114.0,0.0,0.0,611.0,2336.0,375.0,236.0,0.0,0.0,269.0,161.0,16.0,0.0,161.0,8.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,40.0,3.0,0.0,5.0,0.0,0.0,0.0,108.0,0.0,9.0,4.0,0.0,0.0,0.0,17.0,0.0,Buhi,Center
Buhi_Resid_EUK,2363.0,1113.0,5482.0,7857.0,413.0,508.0,1417.0,51.0,2575.0,926.0,208.0,1447.0,271.0,413.0,492.0,24.0,3500.0,1359.0,505.0,0.0,1048.0,0.0,9409.0,492.0,4230.0,336.0,902.0,13.0,123.0,31.0,540.0,3674.0,1089.0,8.0,321.0,169.0,181.0,49.0,0.0,86.0,392.0,0.0,391.0,2640.0,0.0,14.0,22.0,0.0,9.0,50.0,149.0,4.0,0.0,0.0,33.0,392.0,0.0,0.0,55.0,52.0,22.0,0.0,15.0,567.0,2733.0,361.0,238.0,0.0,0.0,218.0,183.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,11.0,0.0,0.0,0.0,0.0,42.0,0.0,Buhi,Resid
Buhi_Tilap_EUK,1010.0,1044.0,1038.0,11634.0,383.0,824.0,1349.0,0.0,2624.0,1031.0,199.0,193.0,323.0,212.0,344.0,75.0,6217.0,1399.0,440.0,0.0,524.0,0.0,7003.0,762.0,541.0,160.0,655.0,22.0,183.0,0.0,752.0,2088.0,454.0,0.0,335.0,282.0,2998.0,91.0,0.0,55.0,115.0,39.0,389.0,3661.0,0.0,56.0,31.0,0.0,3.0,9.0,73.0,4.0,0.0,0.0,19.0,495.0,0.0,0.0,26.0,8.0,6.0,0.0,5.0,412.0,1782.0,251.0,100.0,0.0,0.0,193.0,161.0,0.0,0.0,33.0,8.0,0.0,9.0,3.0,0.0,0.0,28.0,0.0,8.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buhi,Tipal
