id	location	site	pielou_evenness
#q2:types	categorical	categorical	numeric
Baao_Agri_EUK	Baao	Agri	0.80277023856346
Baao_Center_EUK	Baao	Center	0.763203867881208
Baao_Tribu_EUK	Baao	Tribu	0.74130929791899
Bato_Center_EUK	Bato	Center	0.665643143752563
Bato_Resid_EUK	Bato	Resid	0.815669649728836
Bato_Tilap_EUK	Bato	Tilap	0.720441084038364
Bato_Tribu_EUK	Bato	Tribu	0.741235027867906
Buhi_Center_EUK	Buhi	Center	0.807581084644142
Buhi_Resid_EUK	Buhi	Resid	0.80266563848531
Buhi_Tilap_EUK	Buhi	Tipal	0.784252501245483
Buhi_Tribu_EUK	Buhi	Tribu	0.760619928238493
