id	location	site	faith_pd
#q2:types	categorical	categorical	numeric
Baao_Agri_EUK	Baao	Agri	74.8493217470415
Baao_Center_EUK	Baao	Center	42.1709943230264
Baao_Tribu_EUK	Baao	Tribu	80.0478525565961
Bato_Center_EUK	Bato	Center	101.956731001351
Bato_Resid_EUK	Bato	Resid	52.4641511700116
Bato_Tilap_EUK	Bato	Tilap	129.624012536068
Bato_Tribu_EUK	Bato	Tribu	111.501848787706
Buhi_Center_EUK	Buhi	Center	72.0065628971426
Buhi_Resid_EUK	Buhi	Resid	77.4137290415381
Buhi_Tilap_EUK	Buhi	Tipal	74.2429008315847
Buhi_Tribu_EUK	Buhi	Tribu	64.6763338443487
