Group 1,Group 2,H,p-value,q-value
Agri (n=1),Center (n=3),1.8000000000000007,0.17971249487899588,0.43269614708578796
Agri (n=1),Resid (n=2),0.0,1.0,1.0
Agri (n=1),Tilap (n=1),1.0,0.31731050786291115,0.43269614708578796
Agri (n=1),Tipal (n=1),1.0,0.31731050786291115,0.43269614708578796
Agri (n=1),Tribu (n=3),1.8000000000000007,0.17971249487899588,0.43269614708578796
Center (n=3),Resid (n=2),1.3333333333333321,0.2482130789899204,0.43269614708578796
Center (n=3),Tilap (n=1),0.1999999999999993,0.6547208460185774,0.7554471300214354
Center (n=3),Tipal (n=1),0.1999999999999993,0.6547208460185774,0.7554471300214354
Center (n=3),Tribu (n=3),0.04761904761904745,0.8272593465627116,0.8863492998886195
Resid (n=2),Tilap (n=1),1.5,0.22067136191984324,0.43269614708578796
Resid (n=2),Tipal (n=1),1.5,0.22067136191984324,0.43269614708578796
Resid (n=2),Tribu (n=3),3.0,0.08326451666355042,0.43269614708578796
Tilap (n=1),Tipal (n=1),1.0,0.31731050786291115,0.43269614708578796
Tilap (n=1),Tribu (n=3),1.8000000000000007,0.17971249487899588,0.43269614708578796
Tipal (n=1),Tribu (n=3),1.8000000000000007,0.17971249487899588,0.43269614708578796
