id	location	site	shannon_entropy
#q2:types	categorical	categorical	numeric
Baao_Agri_EUK	Baao	Agri	7.49596496187791
Baao_Center_EUK	Baao	Center	6.73887854373631
Baao_Tribu_EUK	Baao	Tribu	6.94009596606473
Bato_Center_EUK	Bato	Center	6.12858595665784
Bato_Resid_EUK	Bato	Resid	7.5432537956082
Bato_Tilap_EUK	Bato	Tilap	6.94522851224738
Bato_Tribu_EUK	Bato	Tribu	6.90471514537276
Buhi_Center_EUK	Buhi	Center	7.24059779729281
Buhi_Resid_EUK	Buhi	Resid	7.20804946777294
Buhi_Tilap_EUK	Buhi	Tipal	7.03595547221868
Buhi_Tribu_EUK	Buhi	Tribu	6.67927719513752
