	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_EUK	Baao_Agri_EUK	Baao	Baao	0.4687635261866974
1	Baao_Tribu_EUK	Baao_Agri_EUK	Baao	Baao	0.504851392295484
2	Baao_Tribu_EUK	Baao_Center_EUK	Baao	Baao	0.474660943586784
3	Baao_Agri_EUK	Bato_Center_EUK	Baao	Bato	0.893972731207618
4	Baao_Agri_EUK	Bato_Resid_EUK	Baao	Bato	0.7461946328091185
5	Baao_Agri_EUK	Bato_Tilap_EUK	Baao	Bato	0.8512480161592844
6	Baao_Agri_EUK	Bato_Tribu_EUK	Baao	Bato	0.895884432260857
7	Baao_Center_EUK	Bato_Center_EUK	Baao	Bato	0.9231171548117155
8	Baao_Center_EUK	Bato_Resid_EUK	Baao	Bato	0.7637065358534122
9	Baao_Center_EUK	Bato_Tilap_EUK	Baao	Bato	0.8669383927283221
10	Baao_Center_EUK	Bato_Tribu_EUK	Baao	Bato	0.9137931034482759
11	Baao_Tribu_EUK	Bato_Center_EUK	Baao	Bato	0.9194199971144135
12	Baao_Tribu_EUK	Bato_Resid_EUK	Baao	Bato	0.7859255518684173
13	Baao_Tribu_EUK	Bato_Tilap_EUK	Baao	Bato	0.8740441494733805
14	Baao_Tribu_EUK	Bato_Tribu_EUK	Baao	Bato	0.9151457221180205
15	Baao_Agri_EUK	Buhi_Center_EUK	Baao	Buhi	0.9075349877362574
16	Baao_Agri_EUK	Buhi_Resid_EUK	Baao	Buhi	0.8954515942865388
17	Baao_Agri_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.907372673495888
18	Baao_Agri_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.900735824556341
19	Baao_Center_EUK	Buhi_Center_EUK	Baao	Buhi	0.9104205742317126
20	Baao_Center_EUK	Buhi_Resid_EUK	Baao	Buhi	0.9103484345693262
21	Baao_Center_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.9189330543933054
22	Baao_Center_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.9314132159861492
