	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_EUK	Baao_Agri_EUK	Baao	Baao	0.5688311688311688
1	Baao_Tribu_EUK	Baao_Agri_EUK	Baao	Baao	0.6349372384937239
2	Baao_Tribu_EUK	Baao_Center_EUK	Baao	Baao	0.6443361753958587
3	Baao_Agri_EUK	Bato_Center_EUK	Baao	Bato	0.9092511013215859
4	Baao_Agri_EUK	Bato_Resid_EUK	Baao	Bato	0.8013371537726839
5	Baao_Agri_EUK	Bato_Tilap_EUK	Baao	Bato	0.8841698841698842
6	Baao_Agri_EUK	Bato_Tribu_EUK	Baao	Bato	0.9127857747671465
7	Baao_Center_EUK	Bato_Center_EUK	Baao	Bato	0.9047120418848168
8	Baao_Center_EUK	Bato_Resid_EUK	Baao	Bato	0.7682502896871379
9	Baao_Center_EUK	Bato_Tilap_EUK	Baao	Bato	0.8881987577639752
10	Baao_Center_EUK	Bato_Tribu_EUK	Baao	Bato	0.9166666666666666
11	Baao_Tribu_EUK	Bato_Center_EUK	Baao	Bato	0.9167389418907199
12	Baao_Tribu_EUK	Bato_Resid_EUK	Baao	Bato	0.8056603773584906
13	Baao_Tribu_EUK	Bato_Tilap_EUK	Baao	Bato	0.896969696969697
14	Baao_Tribu_EUK	Bato_Tribu_EUK	Baao	Bato	0.9190317195325542
15	Baao_Agri_EUK	Buhi_Center_EUK	Baao	Buhi	0.9340148698884758
16	Baao_Agri_EUK	Buhi_Resid_EUK	Baao	Buhi	0.9382488479262673
17	Baao_Agri_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.9361111111111111
18	Baao_Agri_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.9353574926542605
19	Baao_Center_EUK	Buhi_Center_EUK	Baao	Buhi	0.9365256124721604
20	Baao_Center_EUK	Buhi_Resid_EUK	Baao	Buhi	0.9356984478935698
21	Baao_Center_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.9366666666666666
22	Baao_Center_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.9383155397390273
23	Baao_Tribu_EUK	Buhi_Center_EUK	Baao	Buhi	0.9434306569343066
24	Baao_Tribu_EUK	Buhi_Resid_EUK	Baao	Buhi	0.9465579710144928
25	Baao_Tribu_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.9435336976320583
26	Baao_Tribu_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.9442307692307692
0	Bato_Resid_EUK	Bato_Center_EUK	Bato	Bato	0.768993839835729
