	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baao_Center_EUK	Baao_Agri_EUK	Baao	Baao	0.1536200741997086
1	Baao_Tribu_EUK	Baao_Agri_EUK	Baao	Baao	0.1614320220746304
2	Baao_Tribu_EUK	Baao_Center_EUK	Baao	Baao	0.1007012939761844
3	Baao_Agri_EUK	Bato_Center_EUK	Baao	Bato	0.3048031561489859
4	Baao_Agri_EUK	Bato_Resid_EUK	Baao	Bato	0.2608452220204682
5	Baao_Agri_EUK	Bato_Tilap_EUK	Baao	Bato	0.2788259912353349
6	Baao_Agri_EUK	Bato_Tribu_EUK	Baao	Bato	0.2985456302256678
7	Baao_Center_EUK	Bato_Center_EUK	Baao	Bato	0.3538045701763849
8	Baao_Center_EUK	Bato_Resid_EUK	Baao	Bato	0.2194629335377156
9	Baao_Center_EUK	Bato_Tilap_EUK	Baao	Bato	0.3270191213362647
10	Baao_Center_EUK	Bato_Tribu_EUK	Baao	Bato	0.3361303359615709
11	Baao_Tribu_EUK	Bato_Center_EUK	Baao	Bato	0.3326058939058431
12	Baao_Tribu_EUK	Bato_Resid_EUK	Baao	Bato	0.227479366329964
13	Baao_Tribu_EUK	Bato_Tilap_EUK	Baao	Bato	0.3231576571887201
14	Baao_Tribu_EUK	Bato_Tribu_EUK	Baao	Bato	0.3371689786873104
15	Baao_Agri_EUK	Buhi_Center_EUK	Baao	Buhi	0.2522939465934293
16	Baao_Agri_EUK	Buhi_Resid_EUK	Baao	Buhi	0.2476161093313284
17	Baao_Agri_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.2550544740265781
18	Baao_Agri_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.2717813060022953
19	Baao_Center_EUK	Buhi_Center_EUK	Baao	Buhi	0.2818907986770215
20	Baao_Center_EUK	Buhi_Resid_EUK	Baao	Buhi	0.3094146214709043
21	Baao_Center_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.2941600591452002
22	Baao_Center_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.3299870659427845
23	Baao_Tribu_EUK	Buhi_Center_EUK	Baao	Buhi	0.2946795136857117
24	Baao_Tribu_EUK	Buhi_Resid_EUK	Baao	Buhi	0.299938914298787
25	Baao_Tribu_EUK	Buhi_Tilap_EUK	Baao	Buhi	0.2954910891184727
26	Baao_Tribu_EUK	Buhi_Tribu_EUK	Baao	Buhi	0.3144709384366535
0	Bato_Resid_EUK	Bato_Center_EUK	Bato	Bato	0.2917582720192181
1	Bato_Tilap_EUK	Bato_Center_EUK	Bato	Bato	0.1375530334766708
2	Bato_Tilap_EUK	Bato_Resid_EUK	Bato	Bato	0.341798108625413
3	Bato_Tribu_EUK	Bato_Center_EUK	Bato	Bato	0.2272015350477184
4	Bato_Tribu_EUK	Bato_Resid_EUK	Bato	Bato	0.3548982047003279
5	Bato_Tribu_EUK	Bato_Tilap_EUK	Bato	Bato	0.1862937710229749
6	Bato_Center_EUK	Baao_Agri_EUK	Bato	Baao	0.3048031561489859
7	Bato_Center_EUK	Baao_Center_EUK	Bato	Baao	0.3538045701763849
8	Bato_Center_EUK	Baao_Tribu_EUK	Bato	Baao	0.3326058939058431
9	Bato_Resid_EUK	Baao_Agri_EUK	Bato	Baao	0.2608452220204682
10	Bato_Resid_EUK	Baao_Center_EUK	Bato	Baao	0.2194629335377156
11	Bato_Resid_EUK	Baao_Tribu_EUK	Bato	Baao	0.227479366329964
12	Bato_Tilap_EUK	Baao_Agri_EUK	Bato	Baao	0.2788259912353349
13	Bato_Tilap_EUK	Baao_Center_EUK	Bato	Baao	0.3270191213362647
14	Bato_Tilap_EUK	Baao_Tribu_EUK	Bato	Baao	0.3231576571887201
15	Bato_Tribu_EUK	Baao_Agri_EUK	Bato	Baao	0.2985456302256678
16	Bato_Tribu_EUK	Baao_Center_EUK	Bato	Baao	0.3361303359615709
17	Bato_Tribu_EUK	Baao_Tribu_EUK	Bato	Baao	0.3371689786873104
18	Bato_Center_EUK	Buhi_Center_EUK	Bato	Buhi	0.3514640070674994
19	Bato_Center_EUK	Buhi_Resid_EUK	Bato	Buhi	0.304884173260643
20	Bato_Center_EUK	Buhi_Tilap_EUK	Bato	Buhi	0.3041187500117392
21	Bato_Center_EUK	Buhi_Tribu_EUK	Bato	Buhi	0.2708228614169659
22	Bato_Resid_EUK	Buhi_Center_EUK	Bato	Buhi	0.3777744120615679
23	Bato_Resid_EUK	Buhi_Resid_EUK	Bato	Buhi	0.3809442412303174
24	Bato_Resid_EUK	Buhi_Tilap_EUK	Bato	Buhi	0.3649353960613815
25	Bato_Resid_EUK	Buhi_Tribu_EUK	Bato	Buhi	0.3599276545820663
26	Bato_Tilap_EUK	Buhi_Center_EUK	Bato	Buhi	0.3060795538173967
27	Bato_Tilap_EUK	Buhi_Resid_EUK	Bato	Buhi	0.243215921210641
28	Bato_Tilap_EUK	Buhi_Tilap_EUK	Bato	Buhi	0.2804666408150687
29	Bato_Tilap_EUK	Buhi_Tribu_EUK	Bato	Buhi	0.2542786926811527
30	Bato_Tribu_EUK	Buhi_Center_EUK	Bato	Buhi	0.3054497017506313
31	Bato_Tribu_EUK	Buhi_Resid_EUK	Bato	Buhi	0.2851106490521792
32	Bato_Tribu_EUK	Buhi_Tilap_EUK	Bato	Buhi	0.2758206486725204
33	Bato_Tribu_EUK	Buhi_Tribu_EUK	Bato	Buhi	0.3195522578048009
0	Buhi_Resid_EUK	Buhi_Center_EUK	Buhi	Buhi	0.1100133551402504
1	Buhi_Tilap_EUK	Buhi_Center_EUK	Buhi	Buhi	0.1229795469131296
2	Buhi_Tilap_EUK	Buhi_Resid_EUK	Buhi	Buhi	0.1456019904875097
3	Buhi_Tribu_EUK	Buhi_Center_EUK	Buhi	Buhi	0.1965670888354014
4	Buhi_Tribu_EUK	Buhi_Resid_EUK	Buhi	Buhi	0.1473358426647802
5	Buhi_Tribu_EUK	Buhi_Tilap_EUK	Buhi	Buhi	0.1705652390719266
6	Buhi_Center_EUK	Baao_Agri_EUK	Buhi	Baao	0.2522939465934293
7	Buhi_Center_EUK	Baao_Center_EUK	Buhi	Baao	0.2818907986770215
8	Buhi_Center_EUK	Baao_Tribu_EUK	Buhi	Baao	0.2946795136857117
9	Buhi_Resid_EUK	Baao_Agri_EUK	Buhi	Baao	0.2476161093313284
10	Buhi_Resid_EUK	Baao_Center_EUK	Buhi	Baao	0.3094146214709043
11	Buhi_Resid_EUK	Baao_Tribu_EUK	Buhi	Baao	0.299938914298787
12	Buhi_Tilap_EUK	Baao_Agri_EUK	Buhi	Baao	0.2550544740265781
13	Buhi_Tilap_EUK	Baao_Center_EUK	Buhi	Baao	0.2941600591452002
14	Buhi_Tilap_EUK	Baao_Tribu_EUK	Buhi	Baao	0.2954910891184727
15	Buhi_Tribu_EUK	Baao_Agri_EUK	Buhi	Baao	0.2717813060022953
16	Buhi_Tribu_EUK	Baao_Center_EUK	Buhi	Baao	0.3299870659427845
17	Buhi_Tribu_EUK	Baao_Tribu_EUK	Buhi	Baao	0.3144709384366535
18	Buhi_Center_EUK	Bato_Center_EUK	Buhi	Bato	0.3514640070674994
19	Buhi_Center_EUK	Bato_Resid_EUK	Buhi	Bato	0.3777744120615679
20	Buhi_Center_EUK	Bato_Tilap_EUK	Buhi	Bato	0.3060795538173967
21	Buhi_Center_EUK	Bato_Tribu_EUK	Buhi	Bato	0.3054497017506313
22	Buhi_Resid_EUK	Bato_Center_EUK	Buhi	Bato	0.304884173260643
23	Buhi_Resid_EUK	Bato_Resid_EUK	Buhi	Bato	0.3809442412303174
24	Buhi_Resid_EUK	Bato_Tilap_EUK	Buhi	Bato	0.243215921210641
25	Buhi_Resid_EUK	Bato_Tribu_EUK	Buhi	Bato	0.2851106490521792
26	Buhi_Tilap_EUK	Bato_Center_EUK	Buhi	Bato	0.3041187500117392
27	Buhi_Tilap_EUK	Bato_Resid_EUK	Buhi	Bato	0.3649353960613815
28	Buhi_Tilap_EUK	Bato_Tilap_EUK	Buhi	Bato	0.2804666408150687
29	Buhi_Tilap_EUK	Bato_Tribu_EUK	Buhi	Bato	0.2758206486725204
30	Buhi_Tribu_EUK	Bato_Center_EUK	Buhi	Bato	0.2708228614169659
31	Buhi_Tribu_EUK	Bato_Resid_EUK	Buhi	Bato	0.3599276545820663
32	Buhi_Tribu_EUK	Bato_Tilap_EUK	Buhi	Bato	0.2542786926811527
33	Buhi_Tribu_EUK	Bato_Tribu_EUK	Buhi	Bato	0.3195522578048009
